Family	Success	Comments	Tree
Eskimo-Aleut	SUCCESS	NNLS: 	('Naukan Yupik [i-ynk][w-yna][a-203][g-nauk1242]':13.5,'Sirenik Yupik [i-ysr][w-ysi][a-2788][g-sire1246]':13.5)'Yupik [i-][w-][a-][g-yupi1267]';
Kiwaian	FAIL	NNLS: the distances matrix is too small	
Central Sudanic	SUCCESS	NNLS: 	('Ngiti [i-niy][w-nti][a-561][g-ngit1239]':63.7,('Baka {Sudan} [i-bdh][w-bka][a-986][g-baka1274]':7.06,('Kara {Central African Republic} [i-kah][w-kar][a-1697][g-kara1482]':7.06,('Gula {Chad} [i-glu][w-gul][a-1551][g-gula1269]':7.06,'Mango [i-mge][w-mgq][a-3160][g-mang1398]':7.06,'Furu [i-fuu][w-bgr][a-1510][g-furu1242]':7.06)'Saraic [i-][w-][a-][g-sara1349]':8.88e-16)'Nuclear SBB Occidental [i-][w-][a-][g-nucl1719]':0)'Sara-Bongo-Bagirmi [i-][w-][a-][g-sara1341]':56.7)'Central Sudanic [i-][w-][a-][g-cent2225]';
Huarpean	FAIL	NNLS: the distances matrix is too small	
Muniche	FAIL	NNLS: too few languages	
Yamana	FAIL	NNLS: too few languages	
Takelma	FAIL	NNLS: too few languages	
Kunama	FAIL	NNLS: the distances matrix is too small	
Kehu	FAIL	NNLS: too few languages	
Mor {Bomberai Peninsula}	FAIL	NNLS: too few languages	
Nara	FAIL	NNLS: the distances matrix is too small	
Gagadu	FAIL	NNLS: too few languages	
Duna	FAIL	NNLS: too few languages	
Cayubaba	FAIL	NNLS: too few languages	
Puinave	FAIL	NNLS: too few languages	
Yetfa	FAIL	NNLS: too few languages	
Kimki	FAIL	NNLS: too few languages	
Pawaia	FAIL	NNLS: the distances matrix is too small	
Chiquitano	FAIL	NNLS: the distances matrix is too small	
Basque	FAIL	NNLS: the distances matrix is too small	
Oti	FAIL	NNLS: too few languages	
Berta	FAIL	NNLS: the distances matrix is too small	
Kanoe	FAIL	NNLS: too few languages	
Korean	FAIL	NNLS: the distances matrix is too small	
Abun	FAIL	NNLS: the distances matrix is too small	
Ap Ma	FAIL	NNLS: too few languages	
Tanahmerah	FAIL	NNLS: too few languages	
Yele	FAIL	NNLS: the distances matrix is too small	
Kunza	FAIL	NNLS: too few languages	
Siuslaw	FAIL	NNLS: too few languages	
Bilua	FAIL	NNLS: too few languages	
Touo	FAIL	NNLS: too few languages	
Mpur	FAIL	NNLS: the distances matrix is too small	
Elseng	FAIL	NNLS: too few languages	
Natchez	FAIL	NNLS: too few languages	
Sulka	FAIL	NNLS: too few languages	
Pele-Ata	FAIL	NNLS: the distances matrix is too small	
Anem	FAIL	NNLS: too few languages	
Atakapa	FAIL	NNLS: too few languages	
Gule	FAIL	NNLS: too few languages	
Meroitic	FAIL	NNLS: too few languages	
Molale	FAIL	NNLS: too few languages	
Salinan	FAIL	NNLS: too few languages	
Karankawa	FAIL	NNLS: too few languages	
Kol {Papua New Guinea}	FAIL	NNLS: the distances matrix is too small	
Tuu	FAIL	NNLS: the distances matrix is too small	
Arafundi	FAIL	NNLS: the distances matrix is too small	
Kuliak	SUCCESS	NNLS: 	(('Ik [i-ikx][w-ik][a-111][g-ikkk1242]':20.1,('Nyang`i [i-nyp][w-nyg][a-2230][g-nyan1313]':20.1,'Soo [i-teu][w-so][a-2552][g-sooo1256]':20.1)'Ngangea-So [i-][w-][a-][g-ngan1305]':0)'Kuliak [i-][w-][a-][g-kuli1252]':1);
Suki-Gogodala	SUCCESS	NNLS: 	('Gogodala [i-ggw][w-gog][a-1557][g-gogo1265]':3.4,'Suki [i-sui][w-suk][a-2494][g-suki1245]':3.4)'Suki-Gogodala [i-][w-][a-][g-suki1244]';
Angan	SUCCESS	NNLS: 	('Angaataha [i-agm][w-ant][a-851][g-anga1290]':23.3,'Menya [i-mcr][w-mey][a-1954][g-meny1245]':23.3)'Angan [i-][w-][a-][g-anga1289]';
Cahuapanan	FAIL	NNLS: the distances matrix is too small	
Baining	SUCCESS	NNLS: 	('Mali [i-gcc][w-mli][a-1527][g-mali1284]':13.9,'Qaqet [i-byx][w-bng][a-30][g-qaqe1238]':13.9)'Baining [i-][w-][a-][g-bain1263]';
Maningrida	SUCCESS	NNLS: 	(('Guragone [i-gge][w-grg][a-1536][g-gura1252]':21.6,'Nakara [i-nck][w-nkk][a-198][g-naka1260]':21.6)'Burera-Nakara [i-][w-][a-][g-bure1237]':0,'Djeebbana [i-djj][w-ndj][a-661][g-djee1236]':21.6)'Maningrida [i-][w-][a-][g-mani1293]';
Bororoan	FAIL	NNLS: the distances matrix is too small	
Kolopom	SUCCESS	NNLS: 	('Kimaama [i-kig][w-kim][a-131][g-kima1246]':10.4,'Riantana [i-ran][w-ria][a-2362][g-rian1263]':10.4)'Kimaama-Riantana [i-][w-][a-][g-kima1245]';
South Bird`s Head Family	FAIL	NNLS: the distances matrix is too small	
Nuclear Eleman	FAIL	NNLS: the distances matrix is too small	
Mairasi	FAIL	NNLS: the distances matrix is too small	
Yangmanic	FAIL	NNLS: the distances matrix is too small	
West Bird`s Head	FAIL	NNLS: the distances matrix is too small	
Sentani	FAIL	NNLS: the distances matrix is too small	
Chukotko-Kamchatkan	FAIL	NNLS: the distances matrix is too small	
North Bougainville	FAIL	NNLS: the distances matrix is too small	
Aymara	FAIL	NNLS: the distances matrix is too small	
Limilngan	FAIL	NNLS: the distances matrix is too small	
Pomoan	SUCCESS	NNLS: 	(('Eastern Pomo [i-peb][w-pme][a-72][g-east2545]':33.8,'Kashaya [i-kju][w-ksh][a-1766][g-kash1280]':33.8)'Russian River and Eastern [i-][w-][a-][g-russ1265]':20.1,'Southeastern Pomo [i-pom][w-pso][a-568][g-sout2982]':53.9)'Pomoan [i-][w-][a-][g-pomo1273]';
Chumashan	SUCCESS	NNLS: 	('Barbareno [i-boi][w-cba][a-1048][g-barb1263]':24.7,'Ineseno [i-inz][w-cin][a-113][g-ines1240]':24.7)'Central Chumashan [i-][w-][a-][g-cent2139]';
Southern Daly	FAIL	NNLS: the distances matrix is too small	
Dagan	FAIL	NNLS: the distances matrix is too small	
Eastern Trans-Fly	FAIL	NNLS: the distances matrix is too small	
Puri	FAIL	NNLS: the distances matrix is too small	
