Family	Success	Comments	Tree
Eskimo-Aleut	FAIL	GA: no legal range for branch lengths	
Kiwaian	FAIL	GA: the distances matrix is too small	
Central Sudanic	SUCCESS	GA: converged after 629 iterations out of 10000 with residual SSE error 0.000738625271193877	('Ngiti [i-niy][w-nti][a-561][g-ngit1239]':0.227,('Baka {Sudan} [i-bdh][w-bka][a-986][g-baka1274]':0.0816,('Kara {Central African Republic} [i-kah][w-kar][a-1697][g-kara1482]':0.0632,('Gula {Chad} [i-glu][w-gul][a-1551][g-gula1269]':0.0204,'Mango [i-mge][w-mgq][a-3160][g-mang1398]':0.44,'Furu [i-fuu][w-bgr][a-1510][g-furu1242]':0.00388)'Saraic [i-][w-][a-][g-sara1349]':0.0316)'Nuclear SBB Occidental [i-][w-][a-][g-nucl1719]':0.00746)'Sara-Bongo-Bagirmi [i-][w-][a-][g-sara1341]':0.311)'Central Sudanic [i-][w-][a-][g-cent2225]';
Huarpean	FAIL	GA: the distances matrix is too small	
Muniche	FAIL	GA: too few languages	
Yamana	FAIL	GA: too few languages	
Takelma	FAIL	GA: too few languages	
Kunama	FAIL	GA: the distances matrix is too small	
Kehu	FAIL	GA: too few languages	
Mor {Bomberai Peninsula}	FAIL	GA: too few languages	
Nara	FAIL	GA: the distances matrix is too small	
Gagadu	FAIL	GA: too few languages	
Duna	FAIL	GA: too few languages	
Cayubaba	FAIL	GA: too few languages	
Puinave	FAIL	GA: too few languages	
Yetfa	FAIL	GA: too few languages	
Kimki	FAIL	GA: too few languages	
Pawaia	FAIL	GA: the distances matrix is too small	
Chiquitano	FAIL	GA: the distances matrix is too small	
Basque	FAIL	GA: the distances matrix is too small	
Oti	FAIL	GA: too few languages	
Berta	FAIL	GA: the distances matrix is too small	
Kanoe	FAIL	GA: too few languages	
Korean	FAIL	GA: the distances matrix is too small	
Abun	FAIL	GA: the distances matrix is too small	
Ap Ma	FAIL	GA: too few languages	
Tanahmerah	FAIL	GA: too few languages	
Yele	FAIL	GA: the distances matrix is too small	
Kunza	FAIL	GA: too few languages	
Siuslaw	FAIL	GA: too few languages	
Bilua	FAIL	GA: too few languages	
Touo	FAIL	GA: too few languages	
Mpur	FAIL	GA: the distances matrix is too small	
Elseng	FAIL	GA: too few languages	
Natchez	FAIL	GA: too few languages	
Sulka	FAIL	GA: too few languages	
Pele-Ata	FAIL	GA: the distances matrix is too small	
Anem	FAIL	GA: too few languages	
Atakapa	FAIL	GA: too few languages	
Gule	FAIL	GA: too few languages	
Meroitic	FAIL	GA: too few languages	
Molale	FAIL	GA: too few languages	
Salinan	FAIL	GA: too few languages	
Karankawa	FAIL	GA: too few languages	
Kol {Papua New Guinea}	FAIL	GA: the distances matrix is too small	
Tuu	FAIL	GA: the distances matrix is too small	
Arafundi	FAIL	GA: the distances matrix is too small	
Kuliak	SUCCESS	GA: converged after 219 iterations out of 10000 with residual SSE error 2.20407366338736e-09	(('Ik [i-ikx][w-ik][a-111][g-ikkk1242]':0.0495,('Nyang`i [i-nyp][w-nyg][a-2230][g-nyan1313]':0.252,'Soo [i-teu][w-so][a-2552][g-sooo1256]':0.0166)'Ngangea-So [i-][w-][a-][g-ngan1305]':0.0392)'Kuliak [i-][w-][a-][g-kuli1252]':1);
Suki-Gogodala	FAIL	GA: no legal range for branch lengths	
Angan	SUCCESS	GA: converged after 770 iterations out of 10000 with residual SSE error 0.000126121910923758	('Angaataha [i-agm][w-ant][a-851][g-anga1290]':0.014,'Menya [i-mcr][w-mey][a-1954][g-meny1245]':0.215,('Akoye [i-miw][w-][a-3052][g-akoy1238]':0.216,'Tainae [i-ago][w-][a-3053][g-tain1253]':0.00605)'Tainae-Akoye [i-][w-][a-][g-tain1255]':0.00248)'Angan [i-][w-][a-][g-anga1289]';
Cahuapanan	FAIL	GA: the distances matrix is too small	
Baining	FAIL	GA: no legal range for branch lengths	
Maningrida	SUCCESS	GA: converged after 157 iterations out of 10000 with residual SSE error 1.60062909204931e-08	(('Guragone [i-gge][w-grg][a-1536][g-gura1252]':0.0148,'Nakara [i-nck][w-nkk][a-198][g-naka1260]':0.0516)'Burera-Nakara [i-][w-][a-][g-bure1237]':0.115,'Djeebbana [i-djj][w-ndj][a-661][g-djee1236]':0.0998)'Maningrida [i-][w-][a-][g-mani1293]';
Bororoan	FAIL	GA: the distances matrix is too small	
Kolopom	FAIL	GA: no legal range for branch lengths	
South Bird`s Head Family	FAIL	GA: the distances matrix is too small	
Nuclear Eleman	FAIL	GA: the distances matrix is too small	
Mairasi	FAIL	GA: the distances matrix is too small	
Yangmanic	FAIL	GA: the distances matrix is too small	
West Bird`s Head	FAIL	GA: the distances matrix is too small	
Sentani	FAIL	GA: the distances matrix is too small	
Chukotko-Kamchatkan	FAIL	GA: the distances matrix is too small	
North Bougainville	FAIL	GA: the distances matrix is too small	
Aymara	FAIL	GA: the distances matrix is too small	
Limilngan	FAIL	GA: the distances matrix is too small	
Pomoan	SUCCESS	GA: converged after 531 iterations out of 10000 with residual SSE error 0.00452009341709088	(('Eastern Pomo [i-peb][w-pme][a-72][g-east2545]':0.171,'Kashaya [i-kju][w-ksh][a-1766][g-kash1280]':0.0815)'Russian River and Eastern [i-][w-][a-][g-russ1265]':0.00146,'Southeastern Pomo [i-pom][w-pso][a-568][g-sout2982]':0.00287)'Pomoan [i-][w-][a-][g-pomo1273]';
Chumashan	SUCCESS	GA: converged after 858 iterations out of 10000 with residual SSE error 3.42419293738854e-05	('Barbareno [i-boi][w-cba][a-1048][g-barb1263]':0.00586,'Ineseno [i-inz][w-cin][a-113][g-ines1240]':0.00429,'Purisimeno [i-puy][w-][a-2959][g-puri1259]':0.489)'Central Chumashan [i-][w-][a-][g-cent2139]';
Southern Daly	FAIL	GA: the distances matrix is too small	
Dagan	FAIL	GA: the distances matrix is too small	
Eastern Trans-Fly	FAIL	GA: the distances matrix is too small	
Puri	FAIL	GA: the distances matrix is too small	
Nimboran	FAIL	GA: no legal range for branch lengths	
Awin-Pa	FAIL	GA: the distances matrix is too small	
