ISO	WALS	AUTOTYP	Glottolog	Name.ethn	Name.wals	Name.autotyp	Name.glottlog	Latitude	Longitude	UULID
			adiy1237				Adiya	NA	NA	[i-][w-][a-][g-adiy1237]
			adja1238				Adjabdurah	NA	NA	[i-][w-][a-][g-adja1238]
			adju1239				Adjumani	NA	NA	[i-][w-][a-][g-adju1239]
			adku1239				Adkuri	NA	NA	[i-][w-][a-][g-adku1239]
			adom1238				Adoma	NA	NA	[i-][w-][a-][g-adom1238]
			adoo1237				Ado	NA	NA	[i-][w-][a-][g-adoo1237]
			adoy1238				Adoyo	NA	NA	[i-][w-][a-][g-adoy1238]
			adun1238				Adun	NA	NA	[i-][w-][a-][g-adun1238]
			adur1234				Adurgari	33.79	69.32	[i-][w-][a-][g-adur1234]
			aduu1238				Adu	NA	NA	[i-][w-][a-][g-aduu1238]
			adzh1238				Adzhar	NA	NA	[i-][w-][a-][g-adzh1238]
			aegi1237				Aegina	NA	NA	[i-][w-][a-][g-aegi1237]
			aeol1234				Aeolic	NA	NA	[i-][w-][a-][g-aeol1234]
			aequ1239				Aequian	NA	NA	[i-][w-][a-][g-aequ1239]
			aewa1238				Aewa {Western Province}	NA	NA	[i-][w-][a-][g-aewa1238]
			afaa1238				Afa	NA	NA	[i-][w-][a-][g-afaa1238]
			afas1238				Af-Ashraaf	NA	NA	[i-][w-][a-][g-afas1238]
			affa1240				Affade	NA	NA	[i-][w-][a-][g-affa1240]
			affi1239				Affiniam	NA	NA	[i-][w-][a-][g-affi1239]
			afgh1240				Afghanistan Gorbat	NA	NA	[i-][w-][a-][g-afgh1240]
			afgh1241				Afghanistan Balochi	NA	NA	[i-][w-][a-][g-afgh1241]
			afhe1238				Af-Helledi	NA	NA	[i-][w-][a-][g-afhe1238]
			afik1238				Afikpo	NA	NA	[i-][w-][a-][g-afik1238]
			afor1239				Afore	NA	NA	[i-][w-][a-][g-afor1239]
			afri1271				Afridi	NA	NA	[i-][w-][a-][g-afri1271]
			afri1272				Afrike	NA	NA	[i-][w-][a-][g-afri1272]
			afri1276				African American Vernacular English	NA	NA	[i-][w-][a-][g-afri1276]
			afro1260				Afro-Bolivian Spanish	NA	NA	[i-][w-][a-][g-afro1260]
			afsh1238				Afshari	NA	NA	[i-][w-][a-][g-afsh1238]
			afsh1239				Afsharic	NA	NA	[i-][w-][a-][g-afsh1239]
			afta1234				Aftari	35.36	53.7	[i-][w-][a-][g-afta1234]
			afud1235				Afudu	9.831149	11.296849	[i-][w-][a-][g-afud1235]
			agaa1241				Aga	NA	NA	[i-][w-][a-][g-agaa1241]
			agal1241				Agalo	NA	NA	[i-][w-][a-][g-agal1241]
			agam1238				Agam	NA	NA	[i-][w-][a-][g-agam1238]
			agan1234				Agan	NA	NA	[i-][w-][a-][g-agan1234]
			agan1235				Agan Nenets	NA	NA	[i-][w-][a-][g-agan1235]
			agar1249				Agar	NA	NA	[i-][w-][a-][g-agar1249]
			agar1250				Agari of Kolaba	NA	NA	[i-][w-][a-][g-agar1250]
			agau1239				Agaunshe	NA	NA	[i-][w-][a-][g-agau1239]
			agay1235				Agayop	NA	NA	[i-][w-][a-][g-agay1235]
			agba1238				Agbarho	NA	NA	[i-][w-][a-][g-agba1238]
			agbi1234				Agbirigba	NA	NA	[i-][w-][a-][g-agbi1234]
			agbo1241				Agbome	NA	NA	[i-][w-][a-][g-agbo1241]
			agbo1242				Agbon	NA	NA	[i-][w-][a-][g-agbo1242]
			agee1238				Ageer	NA	NA	[i-][w-][a-][g-agee1238]
