ISO	WALS	AUTOTYP	Glottolog	Name.ethn	Name.wals	Name.autotyp	Name.glottlog	Latitude	Longitude	UULID
			laua1244				Lauan-Nonopai	NA	NA	[i-][w-][a-][g-laua1244]
			lauj1239				Lau {Jukunoid}	NA	NA	[i-][w-][a-][g-lauj1239]
			laul1237				Lauli	NA	NA	[i-][w-][a-][g-laul1237]
			laum1238				Laumål	NA	NA	[i-][w-][a-][g-laum1238]
			laur1248				Laurowan	NA	NA	[i-][w-][a-][g-laur1248]
			lauu1246				Lau {Nilotic}	NA	NA	[i-][w-][a-][g-lauu1246]
			lauu1248				Lau Island	NA	NA	[i-][w-][a-][g-lauu1248]
			lauw1238				Lauwela	NA	NA	[i-][w-][a-][g-lauw1238]
			lava1240				Lavatbura	NA	NA	[i-][w-][a-][g-lava1240]
			lavo1235				Lavora	NA	NA	[i-][w-][a-][g-lavo1235]
			lawa1258				Lawa {Lawangan}	NA	NA	[i-][w-][a-][g-lawa1258]
			lawa1259				Lawa {Standard Muna}	NA	NA	[i-][w-][a-][g-lawa1259]
			lawa1260				Lawama	NA	NA	[i-][w-][a-][g-lawa1260]
			lawe1237				Lawela	NA	NA	[i-][w-][a-][g-lawe1237]
			lawn1238				Lawng Hsu	NA	NA	[i-][w-][a-][g-lawn1238]
			laxm1234				Laxmipur	NA	NA	[i-][w-][a-][g-laxm1234]
			laya1252				Laya {Austroasiatic}	NA	NA	[i-][w-][a-][g-laya1252]
			laya1254				Laya	NA	NA	[i-][w-][a-][g-laya1254]
			laya1255				Layapo	NA	NA	[i-][w-][a-][g-laya1255]
			laya1256				Layana	NA	NA	[i-][w-][a-][g-laya1256]
			laze1238				Laze	27.85	101.45	[i-][w-][a-][g-laze1238]
			laze1239				Lazemi	NA	NA	[i-][w-][a-][g-laze1239]
			lazi1238				Laziale	NA	NA	[i-][w-][a-][g-lazi1238]
			lbee1237				L`be	NA	NA	[i-][w-][a-][g-lbee1237]
			ldam1238				Ldamtsai	NA	NA	[i-][w-][a-][g-ldam1238]
			leba1239				Lebang	NA	NA	[i-][w-][a-][g-leba1239]
			leba1240				Lebatukan	NA	NA	[i-][w-][a-][g-leba1240]
			lebi1240				Lebir	NA	NA	[i-][w-][a-][g-lebi1240]
			lebo1243				Saloum	NA	NA	[i-][w-][a-][g-lebo1243]
			lebo1244				Leboa-Le	NA	NA	[i-][w-][a-][g-lebo1244]
			lebo1245				Lebong	NA	NA	[i-][w-][a-][g-lebo1245]
			lebu1234				Lebu Wolof	14.7456291324	-17.490288	[i-][w-][a-][g-lebu1234]
			ledo1237				Ledo	NA	NA	[i-][w-][a-][g-ledo1237]
			leee1238				Le	NA	NA	[i-][w-][a-][g-leee1238]
			leel1241				Leelim	NA	NA	[i-][w-][a-][g-leel1241]
			leem1238				Leem	NA	NA	[i-][w-][a-][g-leem1238]
			leem1242				Leemo	NA	NA	[i-][w-][a-][g-leem1242]
			leet1234				Leetugal Niger Fulfulde	NA	NA	[i-][w-][a-][g-leet1234]
			lega1251				Legaspi	NA	NA	[i-][w-][a-][g-lega1251]
			lege1240				Kaduk	NA	NA	[i-][w-][a-][g-lege1240]
			legh1238				Leghva	NA	NA	[i-][w-][a-][g-legh1238]
			legh1239				Leghari	NA	NA	[i-][w-][a-][g-legh1239]
			leic1234				Leicestershire English	NA	NA	[i-][w-][a-][g-leic1234]
			leil1237				Leileiafa	NA	NA	[i-][w-][a-][g-leil1237]
			leit1234				Leitre	-2.83713	141.62092	[i-][w-][a-][g-leit1234]
			leiv1235				Leivu	NA	NA	[i-][w-][a-][g-leiv1235]
			leiz1236				Leizhou	NA	NA	[i-][w-][a-][g-leiz1236]
			leko1247				Lekon	NA	NA	[i-][w-][a-][g-leko1247]
			leks1234				Leksand	NA	NA	[i-][w-][a-][g-leks1234]
			lela1244				Lela	NA	NA	[i-][w-][a-][g-lela1244]
			lela1245				Lelain	NA	NA	[i-][w-][a-][g-lela1245]
			lele1268				Lelet	NA	NA	[i-][w-][a-][g-lele1268]
			lele1269				Lelehudi	NA	NA	[i-][w-][a-][g-lele1269]
			lele1271				Lelenuk	NA	NA	[i-][w-][a-][g-lele1271]
			leli1237				Leliali	NA	NA	[i-][w-][a-][g-leli1237]
			lelu1237				Lelu-Tafunsak	NA	NA	[i-][w-][a-][g-lelu1237]
			lema1242				Lema	NA	NA	[i-][w-][a-][g-lema1242]
			lema1243				Lemanak	NA	NA	[i-][w-][a-][g-lema1243]
			lema1245				Lematang Ilir	NA	NA	[i-][w-][a-][g-lema1245]
			lemb1261				Lembetu	NA	NA	[i-][w-][a-][g-lemb1261]
			lemb1262				Lembue	NA	NA	[i-][w-][a-][g-lemb1262]
			lemb1263				Lembak Bliti	NA	NA	[i-][w-][a-][g-lemb1263]
			lemb1264				Lembak Sindang	NA	NA	[i-][w-][a-][g-lemb1264]
			lemb1265				Lembur	NA	NA	[i-][w-][a-][g-lemb1265]
			leme1239				Lemena	NA	NA	[i-][w-][a-][g-leme1239]
			leme1241				Lemel	NA	NA	[i-][w-][a-][g-leme1241]
			lemi1242				Lemiting	NA	NA	[i-][w-][a-][g-lemi1242]
			lemk1239				Lemko	NA	NA	[i-][w-][a-][g-lemk1239]
			lemp1234				Lempur	NA	NA	[i-][w-][a-][g-lemp1234]
			lemy1239				Lemyo	NA	NA	[i-][w-][a-][g-lemy1239]
			lenc1242				Lenca-Honduras	13.667338	-87.49878	[i-][w-][a-][g-lenc1242]
			lenc1243				Lenca-Salvador	13.560562	-88.114014	[i-][w-][a-][g-lenc1243]
			leng1257				Lengue	NA	NA	[i-][w-][a-][g-leng1257]
			leng1264				Lengkosambi Dialect	NA	NA	[i-][w-][a-][g-leng1264]
			leng1265				Lengei	NA	NA	[i-][w-][a-][g-leng1265]
			lenk1245				Lenkoran	NA	NA	[i-][w-][a-][g-lenk1245]
			lenk1246				Lenkaran	NA	NA	[i-][w-][a-][g-lenk1246]
			lenm1234				Len {Mambila}	NA	NA	[i-][w-][a-][g-lenm1234]
			lenn1234				Len	-9.12	142.1	[i-][w-][a-][g-lenn1234]
			lent1241				Lentex	NA	NA	[i-][w-][a-][g-lent1241]
			leoh1234				Leohito	NA	NA	[i-][w-][a-][g-leoh1234]
			leon1250				Leonese	NA	NA	[i-][w-][a-][g-leon1250]
			leon1251				Leonais	NA	NA	[i-][w-][a-][g-leon1251]
			leon1252				Leon	NA	NA	[i-][w-][a-][g-leon1252]
			lepo1241				Lepo` Kulit	NA	NA	[i-][w-][a-][g-lepo1241]
			lepu1239				Lepu Potong {Lundayeh}	NA	NA	[i-][w-][a-][g-lepu1239]
			lepu1240				Lepu Potong	NA	NA	[i-][w-][a-][g-lepu1240]
			lerd1234				Lerd	NA	NA	[i-][w-][a-][g-lerd1234]
			lere1242				Lere {Burkina Faso}	NA	NA	[i-][w-][a-][g-lere1242]
			lere1243				Lere {Sayanci}	NA	NA	[i-][w-][a-][g-lere1243]
			leri1235				Lerik	NA	NA	[i-][w-][a-][g-leri1235]
			lesa1237				Lesa	NA	NA	[i-][w-][a-][g-lesa1237]
			lese1244				Lese Karo	NA	NA	[i-][w-][a-][g-lese1244]
			lesi1240				Lesing	NA	NA	[i-][w-][a-][g-lesi1240]
			lesi1241				Lesia	NA	NA	[i-][w-][a-][g-lesi1241]
			leso1234				Lesotho Sign Language	-29.36985	27.50772	[i-][w-][a-][g-leso1234]
			less1241				Eastern Kabyle	NA	NA	[i-][w-][a-][g-less1241]
			less1244				Lesser Wallachia-Tarani	NA	NA	[i-][w-][a-][g-less1244]
			lete1240				Lete	NA	NA	[i-][w-][a-][g-lete1240]
			lete1242				Letemboi	NA	NA	[i-][w-][a-][g-lete1242]
			leti1244				Letia	NA	NA	[i-][w-][a-][g-leti1244]
			leva1238				Sarli Bangru	28.391	94.708	[i-][w-][a-][g-leva1238]
			leve1237				Levei	NA	NA	[i-][w-][a-][g-leve1237]
			lewa1240				Lewa	NA	NA	[i-][w-][a-][g-lewa1240]
			lewi1238				Lewin	NA	NA	[i-][w-][a-][g-lewi1238]
			lewo1245				Lewopenutu	NA	NA	[i-][w-][a-][g-lewo1245]
			lewo1246				Lewotala	NA	NA	[i-][w-][a-][g-lewo1246]
			lewo1247				Lewokukun	NA	NA	[i-][w-][a-][g-lewo1247]
			lewo1248				Lewolaga-Bama	NA	NA	[i-][w-][a-][g-lewo1248]
			lewo1249				Lewolaga	NA	NA	[i-][w-][a-][g-lewo1249]
			lewo1250				Lewolema-Waibalun	NA	NA	[i-][w-][a-][g-lewo1250]
			lewo1251				Lewolema	NA	NA	[i-][w-][a-][g-lewo1251]
			leww1238				Lew	NA	NA	[i-][w-][a-][g-leww1238]
			leya1238				Leya	NA	NA	[i-][w-][a-][g-leya1238]
			leyt1237				Leyte	NA	NA	[i-][w-][a-][g-leyt1237]
			lhei1234				Lheidli	NA	NA	[i-][w-][a-][g-lhei1234]
			lhok1239				Lhokha	NA	NA	[i-][w-][a-][g-lhok1239]
			lhoo1238				Lho	NA	NA	[i-][w-][a-][g-lhoo1238]
			liae1237				Liae	NA	NA	[i-][w-][a-][g-liae1237]
			liah1237				Liah Bing	NA	NA	[i-][w-][a-][g-liah1237]
			lian1253				Lianhua	NA	NA	[i-][w-][a-][g-lian1253]
			lian1254				Liang	NA	NA	[i-][w-][a-][g-lian1254]
			lian1256				Lianmin Yao	26.937902	110.157802	[i-][w-][a-][g-lian1256]
			lian1258				Lianghe Achang	24.750556	98.303056	[i-][w-][a-][g-lian1258]
			lian1259				Liancheng	25.566667	116.783333	[i-][w-][a-][g-lian1259]
			liar1238				Liaro	NA	NA	[i-][w-][a-][g-liar1238]
			lias1237				Lias	NA	NA	[i-][w-][a-][g-lias1237]
			libb1237				Libbung	NA	NA	[i-][w-][a-][g-libb1237]
			libe1248				Liberian Settler English	NA	NA	[i-][w-][a-][g-libe1248]
			libi1245				Libisegahun	NA	NA	[i-][w-][a-][g-libi1245]
			lich1241				Lichiang	NA	NA	[i-][w-][a-][g-lich1241]
			lich1242				Lichabool-Nalong	NA	NA	[i-][w-][a-][g-lich1242]
			liec1234				Liechtensteinisch	NA	NA	[i-][w-][a-][g-liec1234]
			lien1234				Liengi	NA	NA	[i-][w-][a-][g-lien1234]
			liga1237				Ligao	NA	NA	[i-][w-][a-][g-liga1237]
			ligb1243				Ligbeln	NA	NA	[i-][w-][a-][g-ligb1243]
			ligh1234				Light Warlpiri	NA	NA	[i-][w-][a-][g-ligh1234]
			ligo1238				Ligo	NA	NA	[i-][w-][a-][g-ligo1238]
			ligr1238				Ligri	NA	NA	[i-][w-][a-][g-ligr1238]
			ligu1250				Liguri	NA	NA	[i-][w-][a-][g-ligu1250]
			lihe1238				Lihen	NA	NA	[i-][w-][a-][g-lihe1238]
			lika1244				Likaw	NA	NA	[i-][w-][a-][g-lika1244]
			like1238				Likes-Utsia	NA	NA	[i-][w-][a-][g-like1238]
			liki1242				Likisovskoje	NA	NA	[i-][w-][a-][g-liki1242]
			liko1247				Likoonli	NA	NA	[i-][w-][a-][g-liko1247]
			liko1248				Liko	NA	NA	[i-][w-][a-][g-liko1248]
			liko1250				Likolo	NA	NA	[i-][w-][a-][g-liko1250]
			liku1244				Likupang	NA	NA	[i-][w-][a-][g-liku1244]
			lila1245				Lila	NA	NA	[i-][w-][a-][g-lila1245]
			lili1247				Lilima	NA	NA	[i-][w-][a-][g-lili1247]
			lili1248				Liliga	NA	NA	[i-][w-][a-][g-lili1248]
			lili1249				Lilika	NA	NA	[i-][w-][a-][g-lili1249]
			lili1250				Liliko	NA	NA	[i-][w-][a-][g-lili1250]
			lill1247				Lillois	NA	NA	[i-][w-][a-][g-lill1247]
			lima1247				Lima	NA	NA	[i-][w-][a-][g-lima1247]
			lima1248				East-Northeast Pura	NA	NA	[i-][w-][a-][g-lima1248]
			lima1249				Lima {Vasterdalmål}	NA	NA	[i-][w-][a-][g-lima1249]
			limb1269				Limboto	NA	NA	[i-][w-][a-][g-limb1269]
			limo1246				Limousin Occitan	46.0579	1.8017	[i-][w-][a-][g-limo1246]
			limo1247				Limonkpel	NA	NA	[i-][w-][a-][g-limo1247]
			limp1238				Limpesa	NA	NA	[i-][w-][a-][g-limp1238]
			lina1243				Linangmanli	NA	NA	[i-][w-][a-][g-lina1243]
			lina1244				Linafiel	NA	NA	[i-][w-][a-][g-lina1244]
			lina1245				Linaw-Qauqaut	NA	NA	[i-][w-][a-][g-lina1245]
			linc1241				Lincheng	NA	NA	[i-][w-][a-][g-linc1241]
			linc1242				Lincolnshire English	NA	NA	[i-][w-][a-][g-linc1242]
			lind1246				Linda	NA	NA	[i-][w-][a-][g-lind1246]
			lind1247				Lindja	NA	NA	[i-][w-][a-][g-lind1247]
			lind1249				Linduan	NA	NA	[i-][w-][a-][g-lind1249]
			ling1261				Lingaayat	NA	NA	[i-][w-][a-][g-ling1261]
			ling1264				Lingonda	NA	NA	[i-][w-][a-][g-ling1264]
			ling1266				Lingkabau Sugut	NA	NA	[i-][w-][a-][g-ling1266]
			ling1271				Lingua de sinais Fortalezinha	-0.62623	-47.54208	[i-][w-][a-][g-ling1271]
			ling1272				Lingua de sinais de Caicara	-6.76776	-39.17358	[i-][w-][a-][g-ling1272]
			ling1273				Lingua de sinais do Uiramuta	4.59501	-60.16245	[i-][w-][a-][g-ling1273]
			lins1238				Lin-Shao	NA	NA	[i-][w-][a-][g-lins1238]
			lioo1241				Li`o {Papua New Guinea}	NA	NA	[i-][w-][a-][g-lioo1241]
			lipa1240				Lipanja	NA	NA	[i-][w-][a-][g-lipa1240]
			lipi1238				Lipis	NA	NA	[i-][w-][a-][g-lipi1238]
			lipo1239				Lipoto	NA	NA	[i-][w-][a-][g-lipo1239]
			lipo1245				Lipovan	NA	NA	[i-][w-][a-][g-lipo1245]
			lipt1238				Liptaakoore	NA	NA	[i-][w-][a-][g-lipt1238]
			lipu1241				Liputio	NA	NA	[i-][w-][a-][g-lipu1241]
			lipu1242				Lipupi	NA	NA	[i-][w-][a-][g-lipu1242]
			lira1237				Lirang	NA	NA	[i-][w-][a-][g-lira1237]
			liro1237				Lirong	NA	NA	[i-][w-][a-][g-liro1237]
			lisa1240				Lisabata-Timur	NA	NA	[i-][w-][a-][g-lisa1240]
			lisb1236				Lisbon	NA	NA	[i-][w-][a-][g-lisb1236]
			liss1238				Lissam	NA	NA	[i-][w-][a-][g-liss1238]
			lisu1245				Kala Lizu	NA	NA	[i-][w-][a-][g-lisu1245]
			lisu1251				Lisum	NA	NA	[i-][w-][a-][g-lisu1251]
			lite1247				Literary Hindi	NA	NA	[i-][w-][a-][g-lite1247]
			lith1252				Eastern Latvia-Lithuanian Romani	NA	NA	[i-][w-][a-][g-lith1252]
			lith1253				Lithang {Litang}	NA	NA	[i-][w-][a-][g-lith1253]
			liti1240				Litipara	NA	NA	[i-][w-][a-][g-liti1240]
			liti1241				Litime	NA	NA	[i-][w-][a-][g-liti1241]
			lito1235				Litoka	2.69	19.24	[i-][w-][a-][g-lito1235]
			litt1242				Little Nicobar	NA	NA	[i-][w-][a-][g-litt1242]
			litt1243				Little Poland	NA	NA	[i-][w-][a-][g-litt1243]
			litv1235				Litvish	NA	NA	[i-][w-][a-][g-litv1235]
			liud1234				Liudui-Pingtung	NA	NA	[i-][w-][a-][g-liud1234]
			liut1238				Liutwa	NA	NA	[i-][w-][a-][g-liut1238]
			liuu1238				Lim	NA	NA	[i-][w-][a-][g-liuu1238]
			liva1239				Livara	NA	NA	[i-][w-][a-][g-liva1239]
			live1239				Live	NA	NA	[i-][w-][a-][g-live1239]
			livi1241				Livinallese	NA	NA	[i-][w-][a-][g-livi1241]
			livu1239				Livuan	NA	NA	[i-][w-][a-][g-livu1239]
			livu1240				Livunganen	NA	NA	[i-][w-][a-][g-livu1240]
			liwe1234				Liwengi	-9.58491	35.12116	[i-][w-][a-][g-liwe1234]
			lixi1238				Lixian	NA	NA	[i-][w-][a-][g-lixi1238]
			liya1241				Liyagalawumirr	NA	NA	[i-][w-][a-][g-liya1241]
			liya1242				Liyagawumirr	NA	NA	[i-][w-][a-][g-liya1242]
			liyu1238				Liyuwa	NA	NA	[i-][w-][a-][g-liyu1238]
			lizu1234				Lizu	28.333425	101.350309	[i-][w-][a-][g-lizu1234]
			llak1238				Llakwash Chachapoyas	NA	NA	[i-][w-][a-][g-llak1238]
			loan1237				Loanatit	NA	NA	[i-][w-][a-][g-loan1237]
			lobe1241				Lober	NA	NA	[i-][w-][a-][g-lobe1241]
			lobe1242				Lobedu	NA	NA	[i-][w-][a-][g-lobe1242]
			lobo1240				Lobo	NA	NA	[i-][w-][a-][g-lobo1240]
			lobo1241				Loboda	NA	NA	[i-][w-][a-][g-lobo1241]
			lobu1241				Lobu	NA	NA	[i-][w-][a-][g-lobu1241]
			lock1234				Lockhart River Creole	NA	NA	[i-][w-][a-][g-lock1234]
			loda1240				Lodang	NA	NA	[i-][w-][a-][g-loda1240]
			lodh1244				Lodhanti	NA	NA	[i-][w-][a-][g-lodh1244]
			lodh1245				Lodhi {Indo-European}	NA	NA	[i-][w-][a-][g-lodh1245]
			lodi1234				Lodiya	NA	NA	[i-][w-][a-][g-lodi1234]
			lodz1235				Lodz Yiddish	NA	NA	[i-][w-][a-][g-lodz1235]
			loga1242				Logar	NA	NA	[i-][w-][a-][g-loga1242]
			loga1243				Tufombo	NA	NA	[i-][w-][a-][g-loga1243]
			logb1246				Logbo	NA	NA	[i-][w-][a-][g-logb1246]
			loge1237				Logeya	NA	NA	[i-][w-][a-][g-loge1237]
			logg1238				Log	NA	NA	[i-][w-][a-][g-logg1238]
			logi1238				Logiri	NA	NA	[i-][w-][a-][g-logi1238]
			logo1260				Logotok	NA	NA	[i-][w-][a-][g-logo1260]
			logo1273				Logone-Gana	NA	NA	[i-][w-][a-][g-logo1273]
			logo1274				Logone-Birni	NA	NA	[i-][w-][a-][g-logo1274]
			logr1238				Logremma	NA	NA	[i-][w-][a-][g-logr1238]
			loha1251				Lohara	NA	NA	[i-][w-][a-][g-loha1251]
			loha1252				Lohari-Santali	NA	NA	[i-][w-][a-][g-loha1252]
			loha1253				Lohata	NA	NA	[i-][w-][a-][g-loha1253]
			lohb1238				Lohbya	NA	NA	[i-][w-][a-][g-lohb1238]
			lohu1234				Lohutok	NA	NA	[i-][w-][a-][g-lohu1234]
			loii1241				Loi	NA	NA	[i-][w-][a-][g-loii1241]
			loii1242				Loi {Congo}	NA	NA	[i-][w-][a-][g-loii1242]
			loit1238				Loitai	NA	NA	[i-][w-][a-][g-loit1238]
			loka1253				Lokalo	NA	NA	[i-][w-][a-][g-loka1253]
			loka1254				Lokay	NA	NA	[i-][w-][a-][g-loka1254]
			loka1255				Lokai	NA	NA	[i-][w-][a-][g-loka1255]
			loka1256				Lokathan	NA	NA	[i-][w-][a-][g-loka1256]
			loke1237				Lokep	NA	NA	[i-][w-][a-][g-loke1237]
			loko1253				Lokoko	NA	NA	[i-][w-][a-][g-loko1253]
			loku1238				Lokundu	NA	NA	[i-][w-][a-][g-loku1238]
			lola1247				Lolatavola	NA	NA	[i-][w-][a-][g-lola1247]
			lola1249				Lolayan	NA	NA	[i-][w-][a-][g-lola1249]
			lola1251				Lolang	NA	NA	[i-][w-][a-][g-lola1251]
			lola1252				Lolaca	NA	NA	[i-][w-][a-][g-lola1252]
			lole1240				Lolei	NA	NA	[i-][w-][a-][g-lole1240]
			lolo1260				Lolobi	NA	NA	[i-][w-][a-][g-lolo1260]
			lolo1262				Lolokaro	NA	NA	[i-][w-][a-][g-lolo1262]
			lolo1263				Lolobao	NA	NA	[i-][w-][a-][g-lolo1263]
			lolo1268				Lolongo	NA	NA	[i-][w-][a-][g-lolo1268]
			lolu1238				Lolue	NA	NA	[i-][w-][a-][g-lolu1238]
			loly1238				Lolya	NA	NA	[i-][w-][a-][g-loly1238]
			loma1262				Lomaumbi	NA	NA	[i-][w-][a-][g-loma1262]
			loma1263				Loma Grande	NA	NA	[i-][w-][a-][g-loma1263]
			lomb1259				Lombu	NA	NA	[i-][w-][a-][g-lomb1259]
			lomb1261				Lombooki	NA	NA	[i-][w-][a-][g-lomb1261]
			lomb1262				Lombaha	NA	NA	[i-][w-][a-][g-lomb1262]
			lomb1263				Lombard-Venetian Sinti	NA	NA	[i-][w-][a-][g-lomb1263]
			lome1237				Lometimeti	NA	NA	[i-][w-][a-][g-lome1237]
			lomi1237				Lomitawa	NA	NA	[i-][w-][a-][g-lomi1237]
			lomi1238				Lomiaha	NA	NA	[i-][w-][a-][g-lomi1238]
			lomo1240				Lomotua	NA	NA	[i-][w-][a-][g-lomo1240]
			lomo1241				Lomogai	NA	NA	[i-][w-][a-][g-lomo1241]
			lomy1239				Lomya	NA	NA	[i-][w-][a-][g-lomy1239]
			lona1239				Lona	NA	NA	[i-][w-][a-][g-lona1239]
			lonb1237				Lon Bangag	NA	NA	[i-][w-][a-][g-lonb1237]
			lond1243				Londo	NA	NA	[i-][w-][a-][g-lond1243]
			long1252				Longdu	NA	NA	[i-][w-][a-][g-long1252]
			long1373				Longchuan	NA	NA	[i-][w-][a-][g-long1373]
			long1374				Longxi Qiang	NA	NA	[i-][w-][a-][g-long1374]
			long1376				Longla	NA	NA	[i-][w-][a-][g-long1376]
			long1377				Longshan Tujia	NA	NA	[i-][w-][a-][g-long1377]
			long1378				Longmein	NA	NA	[i-][w-][a-][g-long1378]
			long1379				Longching	NA	NA	[i-][w-][a-][g-long1379]
			long1380				Longkhai	NA	NA	[i-][w-][a-][g-long1380]
			long1381				Longwa	NA	NA	[i-][w-][a-][g-long1381]
			long1382				Longri	NA	NA	[i-][w-][a-][g-long1382]
			long1383				Longphi	NA	NA	[i-][w-][a-][g-long1383]
			long1385				Longmi	NA	NA	[i-][w-][a-][g-long1385]
			long1386				Jiangshan	28.5629681	118.3206425	[i-][w-][a-][g-long1386]
			long1388				Longoro	NA	NA	[i-][w-][a-][g-long1388]
			long1390				Longo	NA	NA	[i-][w-][a-][g-long1390]
			long1391				Longe-Longe	NA	NA	[i-][w-][a-][g-long1391]
			long1392				Longombe	NA	NA	[i-][w-][a-][g-long1392]
			long1393				Longo {Democratic Republic of Congo}	NA	NA	[i-][w-][a-][g-long1393]
			long1394				Longolo	NA	NA	[i-][w-][a-][g-long1394]
			long1396				Longana	NA	NA	[i-][w-][a-][g-long1396]
			long1397				Long Luyang	NA	NA	[i-][w-][a-][g-long1397]
			long1398				Long Atun	NA	NA	[i-][w-][a-][g-long1398]
			long1399				Long Pokun	NA	NA	[i-][w-][a-][g-long1399]
			long1400				Long Ekang	NA	NA	[i-][w-][a-][g-long1400]
			long1401				Long Bangan	NA	NA	[i-][w-][a-][g-long1401]
			long1402				Long Semiang	NA	NA	[i-][w-][a-][g-long1402]
			long1403				Long Banyuq	NA	NA	[i-][w-][a-][g-long1403]
			long1404				Long Bento`	NA	NA	[i-][w-][a-][g-long1404]
			long1405				Long Glat	NA	NA	[i-][w-][a-][g-long1405]
			long1407				Long Labid	NA	NA	[i-][w-][a-][g-long1407]
			long1408				Long Badan	NA	NA	[i-][w-][a-][g-long1408]
			long1409				Long Murun	NA	NA	[i-][w-][a-][g-long1409]
			long1410				Long Geng	NA	NA	[i-][w-][a-][g-long1410]
			long1411				Long Kehobo	NA	NA	[i-][w-][a-][g-long1411]
			long1412				Long Akahsemuka	NA	NA	[i-][w-][a-][g-long1412]
			long1413				Long Atip	NA	NA	[i-][w-][a-][g-long1413]
			long1414				Long Bleh	NA	NA	[i-][w-][a-][g-long1414]
			long1415				Long Kiput	NA	NA	[i-][w-][a-][g-long1415]
			long1416				Long Tutoh	NA	NA	[i-][w-][a-][g-long1416]
			long1417				Longjia	26.4	105.233333	[i-][w-][a-][g-long1417]
			long1418				Longri-Cholim	NA	NA	[i-][w-][a-][g-long1418]
			long1419				Longtang	NA	NA	[i-][w-][a-][g-long1419]
			long1420				Longqiao	NA	NA	[i-][w-][a-][g-long1420]
			long1421				Longquan	NA	NA	[i-][w-][a-][g-long1421]
			long1423				Long Layu`	NA	NA	[i-][w-][a-][g-long1423]
			long1424				Long Padi	NA	NA	[i-][w-][a-][g-long1424]
			long1425				Long Mutan	NA	NA	[i-][w-][a-][g-long1425]
			lont1237				Lontes	NA	NA	[i-][w-][a-][g-lont1237]
			lood1234				Loo Dan	NA	NA	[i-][w-][a-][g-lood1234]
			loof1241				Loofiyo	NA	NA	[i-][w-][a-][g-loof1241]
			loof1242				Loofaa	NA	NA	[i-][w-][a-][g-loof1242]
			look1237				Looknon	NA	NA	[i-][w-][a-][g-look1237]
			lopn1238				Lopnor	40.983	84.224	[i-][w-][a-][g-lopn1238]
			lore1245				Loreto	NA	NA	[i-][w-][a-][g-lore1245]
			lorr1242				Lorraine	NA	NA	[i-][w-][a-][g-lorr1242]
			lorr1243				Thionville-Merzig	NA	NA	[i-][w-][a-][g-lorr1243]
			lorw1238				Lorwama	NA	NA	[i-][w-][a-][g-lorw1238]
			losa1236				Losa	NA	NA	[i-][w-][a-][g-losa1236]
			losi1239				Losi	NA	NA	[i-][w-][a-][g-losi1239]
			losi1240				Losiara	NA	NA	[i-][w-][a-][g-losi1240]
			loso1234				Losongo	NA	NA	[i-][w-][a-][g-loso1234]
			lota1238				Lotanga	NA	NA	[i-][w-][a-][g-lota1238]
			lotf1234				Lotf-Abad	NA	NA	[i-][w-][a-][g-lotf1234]
			loth1238				Lothringisch	NA	NA	[i-][w-][a-][g-loth1238]
			loti1239				Lotilla	NA	NA	[i-][w-][a-][g-loti1239]
			loto1239				Lotora	NA	NA	[i-][w-][a-][g-loto1239]
			loud1234				Loudi	27.733333	111.9281883	[i-][w-][a-][g-loud1234]
			loug1237				Lougaw	NA	NA	[i-][w-][a-][g-loug1237]
			loui1241				Isleno Spanish of St. Bernard Parish	NA	NA	[i-][w-][a-][g-loui1241]
			louo1238				Louome	NA	NA	[i-][w-][a-][g-louo1238]
			lous1238				Lousau	NA	NA	[i-][w-][a-][g-lous1238]
			louu1244				Lou {Nilotic}	NA	NA	[i-][w-][a-][g-louu1244]
			lova1240				Lovari	NA	NA	[i-][w-][a-][g-lova1240]
			lovi1238				Lovi	NA	NA	[i-][w-][a-][g-lovi1238]
			lowa1241				Low Alemannic	NA	NA	[i-][w-][a-][g-lowa1241]
			lowe1245				Lower Mahasu Pahari	NA	NA	[i-][w-][a-][g-lowe1245]
			lowe1384				Lower Carniola	NA	NA	[i-][w-][a-][g-lowe1384]
			lowe1386				Lower Engadine	NA	NA	[i-][w-][a-][g-lowe1386]
			lowe1387				Niederprussisch	NA	NA	[i-][w-][a-][g-lowe1387]
			lowe1389				Lower Yazgulyam	NA	NA	[i-][w-][a-][g-lowe1389]
			lowe1390				Lower Prasun	NA	NA	[i-][w-][a-][g-lowe1390]
			lowe1391				Lower Sadri	NA	NA	[i-][w-][a-][g-lowe1391]
			lowe1392				Lower Luga	NA	NA	[i-][w-][a-][g-lowe1392]
			lowe1393				Lower Lamet	NA	NA	[i-][w-][a-][g-lowe1393]
			lowe1394				Lower Bondo	NA	NA	[i-][w-][a-][g-lowe1394]
			lowe1397				Lower Bal	NA	NA	[i-][w-][a-][g-lowe1397]
			lowe1398				Lower Groma	NA	NA	[i-][w-][a-][g-lowe1398]
			lowe1399				Lower Kheng	NA	NA	[i-][w-][a-][g-lowe1399]
			lowe1400				Lower Zyphe	NA	NA	[i-][w-][a-][g-lowe1400]
			lowe1402				Lower Riverland	-34.6	140.5	[i-][w-][a-][g-lowe1402]
			lowe1403				Lower Darling-Lower Lachlan	-33.9470874	141.5854211	[i-][w-][a-][g-lowe1403]
			lowe1404				Lower Adele	NA	NA	[i-][w-][a-][g-lowe1404]
			lowe1405				Lower Kenyang	NA	NA	[i-][w-][a-][g-lowe1405]
