stock	mbranch	sbranch	ssbranch	lsbranch	language	LID	glottolog_LID.2014	ISO639.3.2013
Iranshe	NA	NA	NA	NA	Iranshe	115	iran1263	irn
Trumaí	NA	NA	NA	NA	Trumaí	383	trum1247	tpy
Movima	NA	NA	NA	NA	Movima	192	movi1243	mzp
Cayuvava	NA	NA	NA	NA	Cayuvava	47	cayu1262	cyb
Tupian	Tupi-Guaraní	NA	NA	NA	Guaraní (Paraguayan)	89	para1311	gug
Cariban	NA	NA	NA	NA	Hixkaryana	101	hixk1239	hix
Yanomaman	NA	NA	NA	NA	Sanuma	348	sanu1240	xsu
Warao	NA	NA	NA	NA	Warao	399	wara1303	wba
Austronesian	NA	NA	NA	NA	Hoti	102	hoti1237	hti
Sino-Tibetan	Bodic	Tibetan	Central Tibetan (U-Tsang)	NA	Tibetan (Standard Spoken)	375	tibe1272	bod
Sino-Tibetan	Kiranti	Central-Eastern Kiranti	Eastern Kiranti	Greater Yakkha	Belhare	35	belh1239	byw
Indo-European	Germanic	West Germanic	NA	NA	German	87	stan1295	deu
Pama-Nyungan	Southwestern Pama-Nyungan	Ngarrka	NA	NA	Warlpiri	404	warl1254	wbp
Indo-European	Germanic	North Germanic	NA	NA	Icelandic	110	icel1247	isl
Austronesian	Malayo-Polynesian	Western Malayo-Polynesian non-clade	Aceh-Chamic	NA	Acehnese	9	achi1257	ace
Mayan	Quichean-Mamean (Eastern Maya)	Quichean	NA	NA	Quiche	337	kich1262	quc
Indo-European	Indo-Iranian	Indo-Aryan	Central Indo-Aryan	NA	Nepali	206	nepa1252	nep
Indo-European	Indo-Iranian	Indo-Aryan	Central Indo-Aryan	Hindi-Urdu	Hindi	99	hind1269	hin
Indo-European	Indo-Iranian	Indo-Aryan	Central Indo-Aryan	NA	Maithili	169	mait1250	mai
Benue-Congo	Bantoid	Bantu (narrow)	NA	NA	Swahili	361	swah1253	swa
Nakh-Daghestanian	Nakh	Vainakh	NA	NA	Chechen	49	chec1245	che
Sino-Tibetan	Kukish (Mizo-Kuki-Chin)	Central Chin	NA	NA	Hakka Lai	154	haka1240	cnh
Austronesian	Malayo-Polynesian	Oceanic	Central Pacific	Eastern Fijian-Polynesian linkage	Maori	175	maor1246	mri
Kartvelian	Georgian-Zan	NA	NA	NA	Georgian	86	nucl1302	kat
Sepik	Middle Sepik (Ndu)	NA	NA	NA	Ambulas	6	ambu1247	abt
Border	Waris	NA	NA	NA	Imonda	112	imon1245	imn
Pama-Nyungan	Southwestern Pama-Nyungan	Ngayardic	NA	NA	Martuthunira	179	mart1255	vma
Kunama	NA	NA	NA	NA	Kunama	147	kuna1268	kun
Eastern Central Sudanic	Moru-Madi	NA	NA	NA	Logbara	163	lugb1240	lgg
Chadic	Biu-Mandara (Central Chadic)	NA	NA	NA	Margi	177	marg1265	mrt
Cushitic	Eastern Cushitic	NA	NA	NA	Somali	355	soma1255	som
Songhai	NA	NA	NA	NA	Koroboro Senni	144	koyr1242	ses
Berber	NA	NA	NA	Berber	Berber	431	berb1260	berb
Coos	NA	NA	NA	NA	Hanis (Coos)	432	cors1241	cos
Nivkh	NA	NA	NA	NA	Nivkh	433	gily1242	niv
Sino-Tibetan	Bodic	Tamangic (TGTM)	NA	NA	Gurung	434	west2414	gvr
Indo-European	Italic-Celtic	Celtic	NA	NA	Irish	435	iris1253	gle
Chimbu-Wahgi	Wahgi	NA	NA	NA	Ku Waru	437	nort2921	whg
West Papuan	South Bird’s Head	NA	NA	NA	Maybrat	438	maib1239	ayz
South Bougainville	Nasioi	NA	NA	NA	Nasioi	440	naas1242	nas
Uto-Aztecan	Northern Uto-Aztecan	NA	NA	NA	Paiute (Southern)	441	utes1238	ute
Siuslawan	NA	NA	NA	NA	Siuslaw (Lower Umpqua)	442	sius1254	sis
Songhai	NA	NA	NA	NA	Songhai (Koyra Chiini)	443	koyr1240	khq
Austronesian	Malayo-Polynesian	Oceanic	Central Pacific	Eastern Fijian-Polynesian linkage	Futuna (West)	444	futu1245	fut
Chibchan	Rama	NA	NA	NA	Rama	454	rama1270	rma
Eskimo-Aleut	Eskimoan	NA	NA	NA	Yup’ik (Central)	455	cent2127	esu
Indo-European	Indo-Iranian	Iranian	Southwest Iranian	NA	Persian	456	west2369	pes
West Caucasian	Circassian	NA	NA	Circassian	Circassian (West)	458	adyg1241	ady
Otomanguean	Zapotecan	NA	NA	NA	Zapotec (Isthmus)	459	isth1244	zai
Mayan	Greater Kanjobalan	Kanjobalan	NA	NA	Jacaltec	460	popt1235	jac
Iroquoian	Northern Iroquoian	Five Nations-Huronian-Susquehannock (Proto-Lake Iroquoian)	Five Nations	Mohawk-Oneida	Oneida	461	onei1249	one
Sino-Tibetan	Lolo-Burmese	Burmish	NA	NA	Burmese	463	nucl1310	mya
Indo-European	Greek-Armenian	Greek	NA	NA	Greek (modern)	464	mode1248	ell
Yuman	NA	NA	NA	River	Maricopa	465	mari1440	mrc
Adamawa-Ubangi	NA	NA	NA	NA	Sango	466	sang1328	sag
Austronesian	Malayo-Polynesian	Oceanic	Southern Oceanic linkage	Central Vanuatu linkage	Paamese	467	paam1238	pma
Sino-Tibetan	Newaric	NA	NA	NA	Newar (Dolakha)	468	newa1246	new
Barbacoan	NA	NA	NA	NA	Awa Pit	469	awac1239	kwi
Sino-Tibetan	Lolo-Burmese	Loloish	Southern Loloish	NA	Akha	470	akha1245	ahk
Barbacoan	NA	NA	NA	NA	Tsafiki	471	colo1256	cof
Gunwingguan	NA	NA	NA	NA	Rembarrnga	473	remb1249	rmb
Mixe-Zoque	NA	NA	NA	NA	Sierra Popoluca	474	high1276	poi
Cariban	NA	NA	NA	NA	Trió	475	trio1238	tri
Cariban	NA	NA	NA	NA	Kalihna	476	gali1262	car
Matacoan	NA	NA	NA	NA	Maká	477	maca1260	mca
Siouan	NA	NA	NA	NA	Hocak	479	hoch1243	win
Border	Waris	NA	NA	NA	Amanab	480	aman1265	amn
Kartvelian	Svan	NA	NA	NA	Svan	481	svan1243	sva
Nyulnyulan	NA	NA	NA	NA	Warrwa	482	warr1258	wwr
Austronesian	Malayo-Polynesian	Oceanic	Southern Oceanic linkage	Southern Melanesian	Lenakel	483	lena1238	tnl
Austronesian	Malayo-Polynesian	Western Malayo-Polynesian non-clade	Greater Central Philippine	Danao	Maranao	484	mara1404	mrw
Nyulnyulan	NA	NA	NA	NA	Nyulnyul	485	nyul1247	nyv
Koiarian	Koiaric	NA	NA	NA	Koiali (Mountain)	486	moun1252	kpx
Austronesian	Malayo-Polynesian	Oceanic	Temotu	Reefs-Santa Cruz	Nagu	487	nang1262	ngr
Benue-Congo	Bantoid	Bantu (narrow)	NA	NA	Babungo	488	veng1238	bav
Adamawa-Ubangi	NA	NA	NA	Adamawa-Ubangi	Dii	489	diii1241	dur
Mande	East Mande	NA	NA	NA	Dan	490	dann1241	dnj
Austronesian	Malayo-Polynesian	Greater Barito	NA	NA	Malagasy	491	mala1537	mlg
Mixe-Zoque	NA	NA	NA	NA	Zoque (Copainalá)	492	copa1236	zoc
Tucánoan	NA	NA	NA	NA	Barasano	493	bara1380	bsn
Austroasiatic	Eastern Mon-Khmer	Viet-Muong	Vietic	NA	Vietnamese	494	viet1252	vie
Kadugli-Krongo	NA	NA	NA	NA	Krongo	495	kron1241	kgo
Austronesian	Malayo-Polynesian	Western Malayo-Polynesian non-clade	Malayan / Malayic	NA	Indonesian	496	indo1316	ind
Senufo	Northern Senufo	NA	NA	NA	Supyire	497	supy1237	spp
Otomanguean	Otomian	NA	NA	NA	Otomi (Mezquital)	498	mezq1235	ote
Torricelli	Kombio	Arapesh	NA	NA	Bukiyip	499	buki1249	ape
Miao-Yao	NA	NA	NA	NA	Hmong Njua	500	hmon1264	hnj
Sino-Tibetan	NA	NA	NA	NA	Meithei	501	mani1292	mni
Turkic	Common Turkic	Oghuz	NA	NA	Turkish	502	nucl1301	tur
Uto-Aztecan	Southern Uto-Aztecan	Sonoran	NA	NA	Yaqui	503	yaqu1251	yaq
Kru	Aizi	NA	NA	NA	Grebo	504	greb1256	grb
Dagan	NA	NA	NA	NA	Daga	505	daga1275	dgz
Macro-Ge	Maxakalí	NA	NA	NA	Maxakalí	506	maxa1247	mbl
Mande	East Mande	NA	NA	NA	Yaouré	507	yaou1238	yre
Yokuts-Utian	Yokutsan	NA	NA	NA	Yokuts	508	yoku1256	yok
Totonac-Tepehuan	NA	NA	NA	NA	Totonac (Papantla)	509	papa1238	top
Pama-Nyungan	Southwestern Pama-Nyungan	Nyungic	NA	NA	Pitjantjatjara	510	pitj1243	pjt
Eskimo-Aleut	Eskimoan	NA	NA	NA	Greenlandic Eskimo (West)	511	kala1399	kal
Arawakan	Apurina-Piro-Iñapari	NA	NA	NA	Apurina	512	apur1254	apu
Aymaran	NA	NA	NA	NA	Aymara	514	cent2142	ayr
Bongo-Bagirmi	NA	NA	NA	NA	Bagirmi	515	bagi1246	bmi
Mande	West Mande	NA	NA	NA	Bambara	516	bamb1269	bam
Sino-Tibetan	Kukish (Mizo-Kuki-Chin)	Central Chin	NA	NA	Bawm	517	bawm1236	bgr
Dravidian	North Dravidian	NA	NA	NA	Brahui	518	brah1256	brh
Chibchan	Talamanca	NA	NA	NA	Bribri	519	brib1243	bzd
Uto-Aztecan	Northern Uto-Aztecan	NA	NA	NA	Cahuilla	520	cahu1264	chl
Tsimshianic	NA	NA	NA	NA	Tsimshian (Coast)	522	nucl1649	tsi
Uto-Aztecan	Northern Uto-Aztecan	NA	NA	NA	Comanche	523	coma1245	com
North Atlantic	NA	NA	NA	NA	Diola-Fogny	524	jola1263	dyo
Wissel Lakes	NA	NA	NA	NA	Ekari	525	ekar1243	ekg
Chocó	NA	NA	NA	Southern Emberá dialect cluster	Epena Pedee	526	epen1239	sja
