stock	mbranch	sbranch	ssbranch	lsbranch	language	LID	glottolog_LID.2014	ISO639.3.2013
Palaihninan	NA	NA	NA	NA	Atsugewi	934	atsu1245	atw
Austronesian	Malayo-Polynesian	Oceanic	Southern Oceanic linkage	Southern Melanesian	Anejom	935	anei1239	aty
Indo-European	Italic-Celtic	Italic	NA	NA	Asturian	936	astu1245	ast
Austronesian	Malayo-Polynesian	Oceanic	Southern Oceanic linkage	Central Vanuatu linkage	Aulua	937	aulu1238	aul
Torricelli	NA	NA	NA	NA	One	938	molm1235	aun
Border	Taikat	NA	NA	NA	Awyi	939	awyi1241	auw
Eastern Highlands	Kainantu	NA	NA	NA	Auyana	940	awiy1238	auy
Kwa	Ka-Togo	NA	NA	NA	Avatime	941	avat1244	avn
Nakh-Daghestanian	Daghestanian	Avar-Andic	Avar	NA	Avar	942	avar1256	ava
Torricelli	Wapei-Palei	NA	NA	NA	Au	943	auuu1241	avt
Eastern Central Sudanic	Moru-Madi	NA	NA	NA	Avokaya	944	avok1242	avu
Eastern Highlands	Kainantu	NA	NA	NA	Awa	945	awap1236	awb
Indo-European	Indo-Iranian	Indo-Aryan	Central Indo-Aryan	NA	Awadhi	946	awad1243	awa
Awin-Pare	NA	NA	NA	NA	Awin	947	aeky1238	awi
Cushitic	Central Cushitic	NA	NA	NA	Awngi	948	awng1244	awn
Benue-Congo	Bantoid	Bantu (narrow)	NA	NA	Aka	949	yaka1272	axk
Semitic	West Semitic	Central (West Semitic)	South-Central Semitic	Arabic	Arabic (Eastern Libyan)	951	liby1240	ayl
Semitic	West Semitic	Central (West Semitic)	South-Central Semitic	Arabic	Arabic (San'ani)	952	sana1295	ayn
Zamucoan	NA	NA	NA	NA	Ayoreo	953	ayor1240	ayo
Turkic	Common Turkic	Oghuz	NA	NA	Azari (Iranian)	954	sout2697	azb
Austronesian	Malayo-Polynesian	Oceanic	Western Oceanic linkage	North New Guinea linkage	Adzera	955	adze1240	azr
Uto-Aztecan	Southern Uto-Aztecan	Aztecan	NA	NA	Nahuatl (Sierra de Zacapoaxtla)	956	high1278	azz
Benue-Congo	Bantoid	Bantu (narrow)	NA	NA	Basaa	957	basa1284	bas
Arawakan	North Amazonian	NA	NA	NA	Baré	958	bare1276	bae
Benue-Congo	Bantoid	Bantu (narrow)	NA	NA	Tuki	959	tuki1240	bag
Arawakan	North Amazonian	NA	NA	NA	Baniwa	960	bani1255	bwi
Benue-Congo	Bantoid	NA	NA	NA	Yemba	961	yemb1246	ybb
Tucánoan	NA	NA	NA	NA	Barasano (Northern)	962	waim1255	bao
Indo-European	Germanic	West Germanic	NA	NA	German (Bavarian)	963	bava1246	bar
Benue-Congo	Bantoid	Grassfields Bantu	NA	NA	Mbili	964	bamb1266	baw
Benue-Congo	Bantoid	Grassfields Bantu	NA	NA	Bamun	965	bamu1253	bax
Benue-Congo	Bantoid	Bantu (narrow)	NA	NA	Tunen	966	tune1261	tvu
Gur	NA	NA	NA	NA	Bariba	967	baat1238	bba
Austronesian	Malayo-Polynesian	NA	Northwest Sumatra-Barrier Islands	NA	Batak (Toba)	968	bata1289	bbc
Madang	Croisilles	Mabuso	NA	NA	Bau	969	bauu1244	bbd
Nakh-Daghestanian	Nakh	Tsova-Tush	NA	NA	Tsova-Tush	970	bats1242	bbl
Austronesian	Malayo-Polynesian	Oceanic	Western Oceanic linkage	Meso-Melanesian linkage	Bali-Vitu	971	unea1237	bbn
Mande	West Mande	NA	NA	NA	Bobo Fing	972	nort2819	bbo
Austronesian	Malayo-Polynesian	Oceanic	Western Oceanic linkage	Meso-Melanesian linkage	Sisiqa	973	baba1268	baa
Kwa	Potou-Tano	NA	NA	NA	Baule	974	baou1238	bci
Nyulnyulan	NA	NA	NA	NA	Bardi	975	bard1255	bcj
Bunuban	NA	NA	NA	NA	Bunuba	976	buna1275	bck
Austronesian	Malayo-Polynesian	Oceanic	Western Oceanic linkage	Meso-Melanesian linkage	Banoni	977	bann1247	bcm
Bosavi	NA	NA	NA	NA	Kaluli	978	kalu1248	bco
Omotic	NA	NA	NA	NA	Gimira	979	benc1235	bcq
Benue-Congo	Cross River	NA	NA	NA	Kohumono	980	kohu1244	bcs
Chadic	Biu-Mandara (Central Chadic)	NA	NA	NA	Bana	981	bana1305	bcw
Austronesian	Malayo-Polynesian	Western Malayo-Polynesian non-clade	NA	NA	Pamona	982	pamo1252	pmf
Bislama	NA	NA	NA	NA	Bislama	983	bisl1239	bis
Chadic	West Chadic	West - B (West Chadic)	NA	Bade	Bade	984	bade1248	bde
Indo-European	Indo-Iranian	Iranian	Northwest Iranian	NA	Kurdish (Central)	985	cent1972	ckb
Bongo-Bagirmi	NA	NA	NA	NA	Baka (Sudan)	986	baka1274	bdh
Nakh-Daghestanian	Daghestanian	Lezgian	Samurian (core Lezgian)	Southern Samurian	Budukh	987	budu1248	bdk
Austronesian	Malayo-Polynesian	Western Malayo-Polynesian non-clade	NA	NA	Bajau	988	indo1317	bdl
Chadic	Biu-Mandara (Central Chadic)	NA	NA	NA	Buduma	989	budu1265	bdm
Austroasiatic	Eastern Mon-Khmer	Bahnaric	NA	NA	Bahnar (Plei Bong-Mang Yang)	990	bahn1262	bdq
Cushitic	Southern Cushitic	NA	NA	NA	Burunge	991	buru1320	bds
Benue-Congo	Bantoid	Bantu (narrow)	NA	NA	Bakundu	992	orok1266	bdu
Eastern Highlands	Gorokan	NA	NA	NA	Benabena	993	bena1264	bef
Benue-Congo	Bantoid	Bantu (narrow)	NA	NA	Beembe	994	beem1239	beq
Salishan	NA	NA	NA	NA	Bella Coola	995	bell1243	blc
Benue-Congo	Bantoid	Bantu (narrow)	NA	NA	Benga	996	beng1282	bng
Kru	East Kru	NA	NA	NA	Bété (Guiberoua)	997	guib1246	bet
Melayu Betawi	NA	NA	NA	NA	Betawi	998	beta1252	bew
Bongo-Bagirmi	NA	NA	NA	NA	Jur Mödö	999	jurm1239	bex
Nilotic	Eastern Nilotic	Bari	NA	NA	Bari	1000	bari1284	bfa
Benue-Congo	Bantoid	Grassfields Bantu	NA	NA	Bafut	1001	bafu1246	bfd
Dravidian	South Dravidian	South Dravidian I	NA	NA	Badaga	1002	bada1257	bfq
Sino-Tibetan	West Himalayish	Greater Kinnauri	NA	NA	Gahri	1004	gahr1239	bfu
Austroasiatic	Munda	Southern Munda	NA	NA	Remo	1005	remo1248	rem
Indo-European	Indo-Iranian	Iranian	Northwest Iranian	NA	Baluchi	1006	balo1260	bal
Indo-European	Indo-Iranian	Indo-Aryan	Central Indo-Aryan	NA	Bagri	1007	bagr1243	bgq
Austronesian	Malayo-Polynesian	Western Malayo-Polynesian non-clade	NA	NA	Banggai	1008	bang1368	bgz
Indo-European	Indo-Iranian	Indo-Aryan	Central Indo-Aryan	NA	Bhili	1009	bhil1251	bhb
Greater Binanderean	Binanderean	Nuclear Binanderean	NA	NA	Binandere	1010	bina1277	bhg
Indo-European	Indo-Iranian	Indo-Aryan	Central Indo-Aryan	NA	Bhojpuri	1011	bhoj1244	bho
Sign Language British	NA	NA	NA	NA	Sign Language British	1012	brit1235	bfi
Austronesian	Malayo-Polynesian	Central Malayo-Polynesian non-clade	NA	NA	Bima	1013	bima1247	bhp
Austronesian	Malayo-Polynesian	South Halmahera-Western New Guinea (SHWNG)	NA	NA	Biak	1014	biak1248	bhw
Pama-Nyungan	Southwestern Pama-Nyungan	Wajari	NA	NA	Badimaya	1015	badi1246	bia
Mande	East Mande	NA	NA	NA	Bisa	1016	biss1248	bib
Chadic	East Chadic	NA	NA	NA	Bidiya	1017	bidi1241	bid
North Atlantic	NA	NA	NA	NA	Biafada	1018	biaf1240	bif
Sino-Tibetan	Lolo-Burmese	Loloish	Southern Loloish	NA	Bisu	1019	bisu1244	bzi
Gur	North Gur	NA	NA	NA	Bimoba	1020	bimo1239	bim
Benue-Congo	Bantoid	Bantu (narrow)	NA	NA	Bira	1021	bera1259	brf
Austronesian	Malayo-Polynesian	Western Malayo-Polynesian non-clade	NA	NA	Bilaan	1022	sara1326	bps
Pama-Nyungan	Southwestern Pama-Nyungan	Yura	NA	NA	Banggarla	1023	bang1339	bjb
Sepik	Sepik Hill	NA	NA	NA	Bahinemo	1024	bahi1254	bjh
Cushitic	Eastern Cushitic	NA	NA	NA	Burji	1025	burj1242	bji
Eastern Highlands	Kainantu	NA	NA	NA	Binumarien	1026	binu1245	bjr
North Atlantic	NA	NA	NA	NA	Balanta	1027	bala1302	bjt
Pama-Nyungan	Waka-Kabic	NA	NA	NA	Dharumbal	1028	baya1257	bjy
Adamawa-Ubangi	NA	NA	NA	NA	Baka (Cameroon)	1029	baka1272	bkc
Austronesian	Malayo-Polynesian	Western Malayo-Polynesian non-clade	NA	NA	Binukid	1030	binu1244	bkd
Indo-European	Indo-Iranian	Indo-Aryan	Dardic (Northwestern Indo-Aryan)	NA	Brokskat	1031	brok1247	bkk
Austronesian	Malayo-Polynesian	Western Malayo-Polynesian non-clade	Greater Central Philippine	NA	Bikol	1032	biko1240	bik
Benue-Congo	Bantoid	Grassfields Bantu	NA	NA	Kom	1033	komc1235	bkm
Cariban	NA	NA	NA	NA	Bakairí	1034	baka1277	bkq
Central Solomons	NA	NA	NA	NA	Bilua	1035	bilu1245	blb
Algic	Algonquian	NA	NA	NA	Blackfoot	1036	siks1238	bla
Benue-Congo	Bantoid	Bantu (narrow)	NA	NA	Bolia	1037	boli1255	bli
Siouan	NA	NA	NA	NA	Biloxi	1038	bilo1248	bll
Austronesian	Malayo-Polynesian	Western Malayo-Polynesian non-clade	NA	NA	Balangao	1039	bala1310	blw
Austronesian	Malayo-Polynesian	Western Malayo-Polynesian non-clade	NA	NA	Balantak	1040	bala1315	blz
Finisterre-Huon	Huon	Western Huon	NA	NA	Burum	1041	buru1306	bmu
Benue-Congo	Bantoid	Bantu (narrow)	NA	NA	Bemba	1042	bemb1257	bem
Austronesian	Malayo-Polynesian	Western Malayo-Polynesian non-clade	NA	NA	Bontok	1043	cent2083	bnc
Arawan	NA	NA	NA	NA	Banawá	1044	jama1261	jaa
Benue-Congo	Bantoid	Bantu (narrow)	NA	NA	Bobangi	1045	bang1354	bni
Austronesian	Malayo-Polynesian	Western Malayo-Polynesian non-clade	NA	NA	Bantik	1046	bant1286	bnq
Boran	NA	NA	NA	NA	Bora	1047	bora1263	boa
Chumashan	Southern Chumashan	NA	NA	NA	Barbareño	1048	barb1263	boi
Chadic	West Chadic	West - A (West Chadic)	NA	Bole-Angas group	Bole	1049	nucl1695	bol
Benue-Congo	Platoid	NA	NA	NA	Birom	1050	bero1242	bom
Sino-Tibetan	Bodic	Tamangic (TGTM)	NA	NA	Baragaunle	1051	lowa1242	loy
Bongo-Bagirmi	NA	NA	NA	NA	Bongo	1053	bong1285	bot
Mande	West Mande	NA	NA	NA	Bozo (Tigemaxo)	1054	tiey1235	boz
Kaure	NA	NA	NA	NA	Kaure	1055	kaur1271	bpp
Austronesian	Malayo-Polynesian	Western Malayo-Polynesian non-clade	South Sulawesi	NA	Bugis	1056	bugi1244	bug
Madang	Rai Coast	NA	NA	NA	Bongu	1057	bong1291	bpu
Mande	East Mande	NA	NA	NA	Boko	1058	boko1266	bqc
Mande	East Mande	NA	NA	NA	Busa	1059	busa1253	bqp
Kata Kolok	NA	NA	NA	NA	Kata Kolok	1060	beng1239	bqy
Austroasiatic	Eastern Mon-Khmer	Bahnaric	NA	NA	Brao	1061	lave1249	brb
Berbice Dutch Creole	NA	NA	NA	NA	Berbice Dutch Creole	1062	berb1259	brc
Arawakan	Bolivian	NA	NA	NA	Baure	1063	baur1253	brg
Benue-Congo	Bantoid	Bantu (narrow)	NA	NA	Bakueri	1064	mokp1239	bri
Adamawa-Ubangi	NA	NA	NA	NA	Barambu	1065	bara1361	brm
Chibchan	Talamanca	NA	NA	NA	Boruca	1066	boru1252	brn
Indo-European	Italic-Celtic	Celtic	NA	NA	Breton	1067	bret1244	bre
Austroasiatic	Eastern Mon-Khmer	Katuic	NA	NA	Bru (Eastern)	1068	east2332	bru
Austroasiatic	Eastern Mon-Khmer	Katuic	NA	NA	Bru (Western)	1069	west2397	brv
Sino-Tibetan	Brahmaputran (Sal)	Bodo-Koch (Barish, Bodo-Garo)	Bodo	NA	Bodo	1070	bodo1269	brx
North Atlantic	NA	NA	NA	NA	Basari	1071	bass1258	bsc
Indo-European	Indo-Iranian	Nuristani	NA	NA	Kati (Afghanistan)	1072	kati1270	bsh
South Atlantic	NA	NA	NA	NA	Baga Sitemu	1073	baga1272	bsp
Cushitic	Eastern Cushitic	NA	NA	NA	Bayso	1074	bais1246	bsw
Basque	NA	NA	NA	NA	Basque (Souletin)	1075	basq1248	eus
Austronesian	Malayo-Polynesian	Land Dayak	NA	NA	Biatah	1076	biat1246	bth
Austronesian	Malayo-Polynesian	Western Malayo-Polynesian non-clade	Greater Central Philippine	NA	Batak	1077	bata1301	bya
Austronesian	Malayo-Polynesian	NA	Northwest Sumatra-Barrier Islands	NA	Alas	1078	bata1292	btz
Beothuk	NA	NA	NA	NA	Beothuk	1079	beot1247	bue
Benue-Congo	Bantoid	Bantu (narrow)	NA	NA	Bushoong	1080	bush1247	buf
Miao-Yao	NA	NA	NA	NA	Punu	1081	punu1239	puu
Benue-Congo	Bantoid	Bantu (narrow)	NA	NA	Bukusu	1082	buku1249	bxk
Benue-Congo	Bantoid	Bantu (narrow)	NA	NA	Bulu	1083	bulu1251	bum
South Bougainville	NA	NA	NA	NA	Buin	1084	tere1278	buo
Chadic	Biu-Mandara (Central Chadic)	NA	NA	NA	Bura-Pabir	1085	bura1292	bwr
Benue-Congo	Bantoid	Bantu (narrow)	NA	NA	Bubi	1086	bube1242	bvb
Bongo-Bagirmi	NA	NA	NA	NA	Birri	1087	birr1240	bvq
Burraran	NA	NA	NA	NA	Burarra	1088	bura1267	bvr
Sign Language Flemish	NA	NA	NA	NA	Sign Language Flemish	1089	vlaa1235	bvs
Benue-Congo	Bantoid	Bantu (narrow)	NA	NA	Babole	1090	dibo1245	bvx
Sino-Tibetan	Karenic	NA	NA	NA	Karen (Bwe)	1091	bwek1238	bwe
Omotic	NA	NA	NA	NA	Shinassha	1092	boro1277	bwo
Gur	North Gur	NA	NA	NA	Buli (Ghana)	1093	buli1254	bwu
Turkic	Common Turkic	Kipchak (Northwest Turkic)	NA	NA	Bashkir	1094	bash1264	bak
Mongolic	NA	NA	NA	NA	Buriat	1095	buri1258	bua
Sino-Tibetan	Bodic	Tibetan	Western Archaic Tibetan	NA	Purki	1096	puri1258	prx
Cushitic	Central Cushitic	NA	NA	NA	Bilin	1097	bili1260	byn
Angan	NA	NA	NA	NA	Baruya	1098	baru1267	byr
Austronesian	Malayo-Polynesian	Western Malayo-Polynesian non-clade	Bali-Sasak	NA	Balinese	1099	bali1278	ban
Sepik	Middle Sepik (Ndu)	NA	NA	NA	Boiken	1100	boik1241	bzf
Mískito Coast English Creole	NA	NA	NA	NA	Mískito Coast English Creole	1101	nica1252	bzk
Austronesian	Malayo-Polynesian	South Halmahera-Western New Guinea (SHWNG)	NA	NA	Buli (Indonesia)	1102	buli1255	bzq
Pama-Nyungan	Maric	NA	NA	NA	Biri	1103	biri1256	bzr
Sign Language Brazilian	NA	NA	NA	NA	Sign Language Brazilian	1104	braz1236	bzs
Mayan	Greater Tzeltalan	Cholan	NA	NA	Chortí	1105	chor1273	caa
Arawakan	Caribbean	NA	NA	NA	Garífuna	1106	gari1256	cab
Mayan	Greater Kanjobalan	Chujean	NA	NA	Chuj	1107	chuj1250	cac
Caddoan	NA	NA	NA	NA	Caddo	1108	cadd1256	cad
Matacoan	NA	NA	NA	NA	Chulupí	1109	niva1238	cag
Austronesian	Malayo-Polynesian	Oceanic	Micronesian	NA	Carolinian	1110	caro1242	cal
Austronesian	Malayo-Polynesian	Oceanic	Southern Oceanic linkage	Southern Melanesian	Cèmuhî	1111	cemu1238	cam
Lower Sepik - Ramu	Lower Sepik	NA	NA	NA	Chambri	1112	cham1313	can
Pano-Tacanan	Panoan	NA	NA	NA	Chácobo	1113	chac1251	cao
Na-Dene	Athabaskan	NA	NA	NA	Carrier	1114	carr1249	crx
Mosetén	NA	NA	NA	NA	Mosetén	1115	mose1249	cas
Pano-Tacanan	Tacanan	NA	NA	NA	Cavineña	1116	cavi1250	cav
Macro-Ge	Chiquitano	NA	NA	NA	Chiquito	1117	chiq1248	cax
Iroquoian	Northern Iroquoian	Five Nations-Huronian-Susquehannock (Proto-Lake Iroquoian)	Five Nations	Seneca-Cayuga	Cayuga	1118	cayu1261	cay
Tucánoan	NA	NA	NA	NA	Carapana	1119	cara1272	cbc
Cariban	NA	NA	NA	NA	Carijona	1120	cari1279	cbd
Chibchan	NA	NA	NA	NA	Muisca	1121	chib1270	chb
Chibchan	NA	NA	NA	NA	Chimila	1122	chim1309	cbg
Barbacoan	NA	NA	NA	NA	Cayapa	1123	chac1249	cbi
Chavacano	NA	NA	NA	NA	Chavacano	1124	chav1241	cbk
Austroasiatic	Southern Mon-Khmer	Monic	NA	NA	Nyah Kur (Tha Pong)	1125	nyah1250	cbn
Pano-Tacanan	Panoan	NA	NA	NA	Cashibo	1126	cash1251	cbr
Kakua-Nukak	NA	NA	NA	NA	Kakua	1127	cacu1241	cbv
Otomanguean	Chinantecan	NA	NA	NA	Chinantec (Comaltepec)	1128	coma1246	cco
Tai-Kadai	NA	NA	NA	NA	Zhuang (Northern)	1129	nort3189	zha
Sino-Tibetan	Remnant Himalayish	NA	NA	NA	Chepang	1130	chep1245	cdm
Sino-Tibetan	West Himalayish	Almora	NA	NA	Chaudangsi	1131	chau1259	cdn
Sino-Tibetan	Sinitic	Southern Sinitic	NA	NA	Fuzhou	1132	mind1253	cdo
Austronesian	Malayo-Polynesian	Western Malayo-Polynesian non-clade	NA	NA	Cebuano	1133	cebu1242	ceb
Iroquoian	Southern Iroquian	NA	NA	NA	Cherokee	1134	cher1273	chr
Siouan	NA	NA	NA	NA	Catawba	1135	cata1286	chc
Mayan	Greater Tzeltalan	Cholan	NA	NA	Chontal Maya	1136	taba1266	chf
Chinookan	NA	NA	NA	NA	Chinook (Lower)	1137	chin1286	chh
Otomanguean	Chinantecan	NA	NA	NA	Chinantec (Quiotepec)	1138	quio1240	chq
Austroasiatic	Eastern Mon-Khmer	Bahnaric	NA	NA	Chrau	1139	chra1242	crw
Cholónan	NA	NA	NA	NA	Cholon	1140	chol1284	cht
Turkic	Common Turkic	Northern Turkish	Siberian	NA	Chulym	1141	chul1246	clw
Algic	Algonquian	NA	NA	NA	Cheyenne	1142	chey1247	chy
Muskogean	NA	NA	NA	NA	Chickasaw	1143	chic1270	cic
Austronesian	Malayo-Polynesian	Oceanic	Southern Oceanic linkage	Southern Melanesian	Tinrin	1144	tiri1258	cir
Indo-European	Indo-Iranian	Indo-Aryan	Eastern Indo-Aryan	Bangla	Bangla (Chittagong)	1145	chit1275	ctg
Austronesian	Malayo-Polynesian	Western Malayo-Polynesian non-clade	Aceh-Chamic	NA	Cham (Western)	1146	west2650	cja
Austronesian	Malayo-Polynesian	Western Malayo-Polynesian non-clade	NA	NA	Chru	1147	chru1239	cje
Salishan	Coast Salish	Tsamosan (Olympic)	Inland Tsamosan	NA	Chehalis (Upper)	1148	uppe1439	cjh
Nakh-Daghestanian	Daghestanian	Avar-Andic	Andic	NA	Chamalal	1149	cham1309	cji
Austronesian	Malayo-Polynesian	Western Malayo-Polynesian non-clade	Aceh-Chamic	NA	Cham (Eastern)	1150	east2563	cjm
Arawakan	Campa	NA	NA	NA	Campa Pajonal Asheninca	1151	ashe1273	cjo
Chibchan	Talamanca	NA	NA	NA	Cabécar	1152	cabe1245	cjp
Turkic	Common Turkic	Northern Turkish	Siberian	NA	Shor	1153	shor1247	cjs
Chimbu-Wahgi	Chimbu	NA	NA	NA	Chuave	1154	chua1250	cjv
Mayan	Quichean-Mamean (Eastern Maya)	Quichean	NA	NA	Cakchiquel	1155	cakc1235	ckz
Sino-Tibetan	Kukish (Mizo-Kuki-Chin)	Southern Chin	NA	NA	Khumi	1156	khum1248	cnk
Kwa	Potou-Tano	NA	NA	NA	Anufo	1157	anuf1239	cko
Tayo	NA	NA	NA	NA	Tayo	1158	tayo1238	cks
Chadic	West Chadic	West - A (West Chadic)	NA	Ron	Ron	1159	ronn1241	cla
Semitic	West Semitic	Central (West Semitic)	Aramaic	Aramaic	Chaldean (Modern)	1160	chal1275	cld
Sino-Tibetan	Mishmi	NA	NA	NA	Idu	1161	idum1241	clk
Salishan	Coast Salish	Central Coast Salish	South Georgia	Straits Salish (Lkungen)	Clallam	1162	clal1241	clm
Tequistlatecan	NA	NA	NA	NA	Chontal (Huamelultec Oaxaca)	1163	lowl1260	clo
Chocó	NA	NA	NA	NA	Embera (Chami)	1164	embe1262	cmi
Otomanguean	Chinantecan	NA	NA	NA	Chinantec (Tepetotutla)	1166	tepe1279	cnt
Mayan	Huastecan	NA	NA	NA	Chicomuceltec	1167	chic1271	cob
Tupian	Tupi-Guaraní	NA	NA	NA	Cocama	1168	coca1259	cod
Tucánoan	NA	NA	NA	NA	Koreguaje	1169	kore1283	coe
Salishan	Interior Salish	Southern Interior Salish	NA	NA	Columbia-Wenatchi	1170	colu1241	col
Salishan	Coast Salish	Central Coast Salish	North Georgia	NA	Comox	1171	como1259	coo
Egyptian	NA	NA	NA	NA	Coptic	1172	copt1239	cop
North Atlantic	NA	NA	NA	NA	Konyagi	1173	wame1240	cou
Otomanguean	Popolocan	NA	NA	NA	Chocho	1174	choc1279	coz
Otomanguean	Chinantecan	NA	NA	NA	Chinantec (Palantla)	1175	pala1351	cpa
Na-Dene	Athabaskan	NA	NA	NA	Chipewyan	1176	chip1261	chp
Austronesian	Malayo-Polynesian	Oceanic	Southern Oceanic linkage	Central Vanuatu linkage	Lonwolwol	1177	lonw1238	crc
Salishan	Interior Salish	Southern Interior Salish	NA	NA	Coeur d'Alene	1178	coeu1236	crd
Algic	Algonquian	NA	NA	NA	Cree (Eastern)	1179	cree1272	cre
Algic	Algonquian	NA	NA	NA	Michif	1180	mich1243	crg
Turkic	Common Turkic	Kipchak (Northwest Turkic)	NA	NA	Tatar (Crimean)	1181	crim1257	crh
Muskogean	NA	NA	NA	NA	Creek	1182	cree1270	mus
Indo-European	Italic-Celtic	Celtic	NA	NA	Cornish	1183	corn1251	cor
Siouan	NA	NA	NA	NA	Crow	1184	crow1244	cro
Matacoan	NA	NA	NA	NA	Chorote	1185	iyoj1235	crt
Seychelles Creole	NA	NA	NA	NA	Seychelles Creole	1186	sese1246	crs
Indo-European	Balto-Slavic	Slavic	West Slavic	NA	Kashubian	1187	kash1274	csb
Sino-Tibetan	Kukish (Mizo-Kuki-Chin)	Southern Chin	NA	NA	Hyow	1188	asho1236	csh
Yokuts-Utian	Utian	Miwok-Costanoan	Miwok	Western Miwok	Miwok (Bodega)	1189	coas1301	csi
Sign Language Chinese	NA	NA	NA	NA	Sign Language Chinese	1190	chin1283	csl
Yokuts-Utian	Utian	Miwok-Costanoan	Miwok	Eastern Miwok	Miwok (Central Sierra)	1191	cent2140	csm
Otomanguean	Chinantecan	NA	NA	NA	Chinantec (Sochiapan)	1192	soch1239	cso
Sino-Tibetan	Kukish (Mizo-Kuki-Chin)	Central Chin	NA	NA	Chin (Siyin)	1193	siyi1240	csy
Otomanguean	Zapotecan	NA	NA	NA	Chatino (Tataltepec)	1194	tata1258	cta
Sino-Tibetan	Kukish (Mizo-Kuki-Chin)	Central Chin	NA	NA	Chin (Tiddim)	1195	tedi1235	ctd
Mayan	Greater Tzeltalan	Cholan	NA	NA	Chol	1196	chol1282	ctu
Chocó	NA	NA	NA	NA	Catio	1197	embe1260	cto
Otomanguean	Zapotecan	NA	NA	NA	Chatino (Sierra Occidental)	1198	west2644	ctp
Austroasiatic	Eastern Mon-Khmer	Bahnaric	NA	NA	Cua	1199	cuaa1241	cua
Tucánoan	NA	NA	NA	NA	Cubeo	1200	cube1242	cub
Guahiboan	NA	NA	NA	NA	Cuiba	1201	cuib1242	cui
Arawan	NA	NA	NA	NA	Culina	1202	culi1244	cul
Uto-Aztecan	Northern Uto-Aztecan	Takic	NA	NA	Cupeño	1203	cupe1243	cup
Otomanguean	Chinantecan	NA	NA	NA	Chinantec (San Felipe Usila)	1204	usil1237	cuc
Otomanguean	Mixtecan	NA	NA	NA	Cuicatec	1205	teut1235	cut
Otomanguean	Zapotecan	NA	NA	NA	Chatino (Nopala)	1206	nopa1235	cya
Indo-European	Balto-Slavic	Slavic	West Slavic	NA	Czech	1207	czec1258	ces
Chadic	East Chadic	NA	NA	NA	Dangaléat (Western)	1208	dang1274	daa
Chadic	Biu-Mandara (Central Chadic)	Daba (a.k.a. Family A7)	NA	NA	Daba	1209	nucl1683	dbq
West Caucasian	Circassian	NA	NA	Circassian	Adyghe (Abzakh)	1210	adyg1241	ady
West Caucasian	Circassian	NA	NA	Circassian	Adyghe (Shapsugh)	1211	adyg1241	ady
West Caucasian	Circassian	NA	NA	Circassian	Adyghe (Temirgoy)	1212	adyg1241	ady
Gur	North Gur	NA	NA	NA	Dagbani	1213	dagb1246	dag
Adamawa-Ubangi	NA	NA	NA	NA	Day	1214	dayy1236	dai
Daju	NA	NA	NA	NA	Daju (Dar Fur)	1215	darf1239	daj
Semitic	West Semitic	Central (West Semitic)	South-Central Semitic	Arabic	Arabic (Negev)	1216	sout3123	ajp
Saharan	NA	NA	NA	NA	Tubu	1217	teda1241	tuq
Eskimo-Aleut	Aleut	NA	NA	NA	Aleut (Eastern)	1218	aleu1260	ale
Arawan	NA	NA	NA	NA	Dení	1219	deni1241	dny
Sino-Tibetan	Tani	Western Tani	NA	NA	Nishi	1220	nyis1236	njz
Semitic	West Semitic	Central (West Semitic)	South-Central Semitic	Arabic	Arabic (Beirut)	1221	nort3139	apc
Semitic	West Semitic	Central (West Semitic)	South-Central Semitic	Arabic	Arabic (Lebanese)	1222	nort3139	apc
Semitic	West Semitic	Central (West Semitic)	South-Central Semitic	Arabic	Arabic (Syrian)	1223	nort3139	apc
Indo-European	Greek-Armenian	Armenian	NA	NA	Armenian (Iranian)	1224	nucl1235	hye
Daju	NA	NA	NA	NA	Sila	1225	dars1235	dau
Benue-Congo	Bantoid	Bantu (narrow)	NA	NA	Dabida	1226	tait1250	dav
Indo-European	Germanic	West Germanic	NA	NA	German (Upper Austrian)	1227	bava1246	bar
Indo-European	Germanic	West Germanic	NA	NA	German (Viennese)	1228	bava1246	bar
Pama-Nyungan	Bandjalangic	NA	NA	NA	Bandjalang (Casino)	1229	band1339	bdy
Pama-Nyungan	Bandjalangic	NA	NA	NA	Bandjalang (Waalubal)	1230	band1339	bdy
Pama-Nyungan	Bandjalangic	NA	NA	NA	Bandjalang (Yugumbir)	1231	band1339	bdy
Pama-Nyungan	NA	NA	NA	NA	Gidabal	1232	band1339	bdy
Nilotic	Eastern Nilotic	Bari	NA	NA	Kukú	1233	bari1284	bfa
Austronesian	Malayo-Polynesian	Western Malayo-Polynesian non-clade	NA	NA	Begak-Ida'an	1234	idaa1241	dbj
Basque	NA	NA	NA	NA	Basque (Basaburua and Imoz)	1235	basq1248	eus
Basque	NA	NA	NA	NA	Basque (Bidasoa Valley)	1236	basq1248	eus
Basque	NA	NA	NA	NA	Basque (Gernica)	1237	basq1248	eus
Basque	NA	NA	NA	NA	Basque (Hondarribia)	1238	basq1248	eus
Basque	NA	NA	NA	NA	Basque (Lekeitio)	1239	basq1248	eus
Basque	NA	NA	NA	NA	Basque (Northern High Navarrese)	1240	basq1248	eus
Basque	NA	NA	NA	NA	Basque (Oñati)	1241	basq1248	eus
Basque	NA	NA	NA	NA	Basque (Roncalese)	1242	basq1248	eus
Basque	NA	NA	NA	NA	Basque (Sakana)	1243	basq1248	eus
