Family	Success	Comments	Tree
Matacoan	SUCCESS	GA: converged after 519 iterations out of 10000 with residual SSE error 25.1338778805385	('Wich<U+FFFD><U+FFFD> Lhamt<U+FFFD><U+FFFD>s G<U+FFFD><U+FFFD>isnay [i-mzh][w-wch][a-2124][g-wich1264]':6.16,'Nivacl<U+FFFD><U+FFFD> [i-cag][w-chu][a-1109][g-niva1238]':6.12,'Maka [i-mca][w-mca][a-477][g-maca1260]':0.0187)'Matacoan [i-][w-][a-][g-]';
Skou	SUCCESS	GA: converged after 923 iterations out of 10000 with residual SSE error 28.2890834473092	((('Rawo [i-rwa][w-pok][a-2390][g-rawo1244]':15.1,'Warapu [i-wra][w-brp][a-3198][g-wara1302]':9.88)'Serra Hills [i-][w-][a-][g-]':2.38,('Skou [i-skv][w-sko][a-2440-2849][g-nucl1634]':3.22,'Vanimo [i-vam][w-dum][a-395][g-vani1248]':0.814)'Nuclear Skou [i-][w-][a-][g-]':4.09)'Skou-Serra-Piore [i-][w-][a-][g-]':4.16,'Isaka [i-ksi][w-isa][a-307][g-kris1246]':4.06)'Skou [i-][w-][a-][g-]';
Amto-Musan	FAIL	GA: the distances matrix is too small	
Eastern Trans-Fly	FAIL	GA: the distances matrix is too small	
Maxakalian	FAIL	GA: the distances matrix is too small	
Somahai	FAIL	GA: the distances matrix is too small	
Andamanese	SUCCESS	GA: converged after 134 iterations out of 10000 with residual SSE error 1.87203299939848e-11	('<U+FFFD><U+FFFD><U+FFFD><U+FFFD>ge [i-oon][w-ong][a-2][g-onge1236]':3.97,'Jarawa [i-anq][w-jrw][a-899][g-jara1245]':2.88)'South Andamanese [i-][w-][a-][g-]';
Eskimo-Aleut	SUCCESS	GA: converged after 678 iterations out of 10000 with residual SSE error 3.79025642574433e-05	(('Yupik. Pacific Gulf [i-ems][w-atq][a-2860][g-paci1278]':4.62,'Yupik. Central [i-esu][w-ych-ypk-yun][a-1285-1286-455][g-cent2127]':3.44)'Alaskan Yupik [i-][w-][a-][g-]':17.1,'Yupik. Central Siberian [i-ess][w-ysl-yus][a-1284-612][g-cent2128]':6.5)'Yupik [i-][w-][a-][g-]';
Mayan	SUCCESS	GA: converged after 1274 iterations out of 10000 with residual SSE error 25.8934781503654	((('Maya. Yucatec [i-yua][w-yct][a-682][g-yuca1254]':0.934,'Lacandon [i-lac][w-lac][a-1861][g-laca1243]':3.69)'Yucatec-Lacandon [i-][w-][a-][g-]':1.43,'Itza<U+FFFD><U+FFFD><U+FFFD> [i-itz][w-itz][a-1660][g-itza1241]':0.296)'Yucatecan [i-][w-][a-][g-]':1.7,('Jakalteko [i-jac][w-jak][a-460][g-popt1235]':12.5,'Tojolabal [i-toj][w-toj][a-2598][g-tojo1241]':0.237)'Q<U+FFFD><U+FFFD><U+FFFD>anjob<U+FFFD><U+FFFD><U+FFFD>alan-Chujean [i-][w-][a-][g-]':0.22,'Chontal. Tabasco [i-chf][w-cmy][a-1136][g-taba1266]':3.29)'Yucatecan-Core Mayan [i-][w-][a-][g-]';
South Bougainville	SUCCESS	GA: converged after 451 iterations out of 10000 with residual SSE error 9.65228431365768e-08	('Naasioi [i-nas][w-nas][a-440][g-naas1242]':7.24,('Terei [i-buo][w-bun][a-1084][g-tere1278]':6.82,'Siwai [i-siw][w-mot][a-191][g-siwa1245]':6.42)'Buin [i-][w-][a-][g-]':8.62)'South Bougainville [i-][w-][a-][g-]';
Arafundi	FAIL	GA: the distances matrix is too small	
Eyak-Athabaskan	SUCCESS	GA: converged after 713 iterations out of 10000 with residual SSE error 57.6981639675685	('Tlingit [i-tli][w-tli][a-379][g-tlin1245]':9.43,(('Mattole [i-mvb][w-mtl][a-2100][g-matt1238]':0.143,'Kato [i-ktw][w-kto][a-1831][g-kato1244]':6.43,'Hupa [i-hup][w-hup][a-1621][g-hupa1239]':10.4)'California Athabaskan [i-][w-][a-][g-]':2.22,'Dene [i-chp][w-chp][a-1176][g-chip1261]':5.78,('Apache. Mescalero-Chiricahua [i-apm][w-apc][a-910][g-mesc1238]':6.69,'Navajo [i-nav][w-nav][a-204][g-nava1243]':18.8)'Apachean [i-][w-][a-][g-]':0.128)'Athabaskan [i-][w-][a-][g-]':5.25)'Eyak-Athabaskan [i-][w-][a-][g-]';
Maybrat	FAIL	GA: the distances matrix is too small	
