Family	Success	Comments	Tree
Matacoan	SUCCESS	NNLS: 	('Wichi Lhamtes Guisnay [i-mzh][w-wch][a-2124][g-wich1264]':0.0476,'Nivacle [i-cag][w-chu][a-1109][g-niva1238]':0.0476,'Maka [i-mca][w-mca][a-477][g-maca1260]':0.0476)'Matacoan [i-][w-][a-][g-]';
Skou	SUCCESS	NNLS: 	((('Rawo [i-rwa][w-pok][a-2390][g-rawo1244]':0.168,'Warapu [i-wra][w-brp][a-3198][g-wara1302]':0.168)'Serra Hills [i-][w-][a-][g-]':2.78e-17,('Skou [i-skv][w-sko][a-2440-2849][g-nucl1634]':0.0417,'Vanimo [i-vam][w-dum][a-395][g-vani1248]':0.0417)'Nuclear Skou [i-][w-][a-][g-]':0.126)'Skou-Serra-Piore [i-][w-][a-][g-]':0,'Isaka [i-ksi][w-isa][a-307][g-kris1246]':0.168)'Skou [i-][w-][a-][g-]';
Amto-Musan	FAIL	NNLS: the distances matrix is too small	
Eastern Trans-Fly	FAIL	NNLS: the distances matrix is too small	
Maxakalian	FAIL	NNLS: the distances matrix is too small	
Somahai	FAIL	NNLS: the distances matrix is too small	
Andamanese	SUCCESS	NNLS: 	(('Onge [i-oon][w-ong][a-2][g-onge1236]':0,'Jarawa [i-anq][w-jrw][a-899][g-jara1245]':0)'South Andamanese [i-][w-][a-][g-]':0,('Aka-Cari [i-aci][w-akc][a-829][g-akac1240]':0,('Aka-Kede [i-akx][w-akk][a-873][g-akak1252]':0,'Aka-Bea [i-abj][w-akb][a-827][g-akab1249]':0,'A-Pucikwar [i-apq][w-apk-gan][a-912][g-apuc1241]':0)'Central [i-][w-][a-][g-]':0)'Great Andamanese [i-][w-][a-][g-]':0)'Andamanese [i-][w-][a-][g-]';
Eskimo-Aleut	SUCCESS	NNLS: 	(((('Yupik. Pacific Gulf [i-ems][w-atq][a-2860][g-paci1278]':0,'Yupik. Central [i-esu][w-ych-ypk-yun][a-1285-1286-455][g-cent2127]':0)'Alaskan Yupik [i-][w-][a-][g-]':0,'Yupik. Sirenik [i-ysr][w-ysi][a-2788][g-sire1246]':0,'Yupik. Naukan [i-ynk][w-yna][a-203][g-nauk1242]':0,'Yupik. Central Siberian [i-ess][w-ysl-yus][a-1284-612][g-cent2128]':0)'Yupik [i-][w-][a-][g-]':0,('Inupiatun. North Alaskan [i-esi][w-inu][a-][g-nort2943]':0,'Inuktitut. Greenlandic [i-kal][w-gre-grw-gso][a-1281-1282-511][g-kala1399]':0,'Inuktitut. Eastern Canadian [i-ike][w-ins-iql][a-][g-east2534]':0,'Inuinnaqtun [i-ikt][w-inr-kgt][a-1280][g-west2618]':0)'Inuit-Inupiaq [i-][w-][a-][g-]':0)'Eskimo [i-][w-][a-][g-]':0,'Aleut [i-ale][w-aea-ale][a-1218-18][g-aleu1260]':0)'Eskimo-Aleut [i-][w-][a-][g-]';
Mayan	FAIL	NNLS: error in nnls.tree()	
South Bougainville	SUCCESS	NNLS: 	('Naasioi [i-nas][w-nas][a-440][g-naas1242]':0.257,('Terei [i-buo][w-bun][a-1084][g-tere1278]':0.167,'Siwai [i-siw][w-mot][a-191][g-siwa1245]':0.167)'Buin [i-][w-][a-][g-]':0.0907)'South Bougainville [i-][w-][a-][g-]';
Arafundi	FAIL	NNLS: the distances matrix is too small	
Eyak-Athabaskan	SUCCESS	NNLS: 	('Tlingit [i-tli][w-tli][a-379][g-tlin1245]':0,(('Mattole [i-mvb][w-mtl][a-2100][g-matt1238]':0,'Kato [i-ktw][w-kto][a-1831][g-kato1244]':0,'Hupa [i-hup][w-hup][a-1621][g-hupa1239]':0)'California Athabaskan [i-][w-][a-][g-]':0,('Tutchone. Northern [i-ttm][w-tut][a-2640][g-nort2941]':0,'Slavey. South [i-xsl][w-slv][a-2441][g-sout2959]':0,'Carrier [i-crx][w-crq][a-1114][g-carr1249]':0,'Tanana. Lower [i-taa][w-tnl][a-2510][g-lowe1425]':0,'Tanaina [i-tfn][w-tnj][a-2555][g-tana1289]':0,'Tanacross [i-tcb][w-tnc][a-2531][g-tana1290]':0,'Sarsi [i-srs][w-src][a-2477][g-sars1236]':0,'Kuskokwim. Upper [i-kuu][w-uku][a-1838][g-uppe1438]':0,'Koyukon [i-koy][w-kyn][a-1798][g-koyu1237]':0,'Gwich`in [i-gwi][w-kth][a-1834][g-gwic1235]':0,'Dene [i-chp][w-chp][a-1176][g-chip1261]':0,'Degexit`an [i-ing][w-dgx][a-1647][g-dege1248]':0,'Ahtena [i-aht][w-aht][a-859][g-ahte1237]':0)'Northern Athabaskan [i-][w-][a-][g-]':0,(('Apache. Western [i-apw][w-apw][a-914][g-west2615]':0,'Apache. Mescalero-Chiricahua [i-apm][w-apc][a-910][g-mesc1238]':0,'Apache. Jicarilla [i-apj][w-apj][a-909][g-jica1244]':0)'Apache [i-][w-][a-][g-]':0,'Navajo [i-nav][w-nav][a-204][g-nava1243]':0)'Apachean [i-][w-][a-][g-]':0)'Athabaskan [i-][w-][a-][g-]':0,'Eyak [i-eya][w-eya][a-76][g-eyak1241]':0)'Eyak-Athabaskan [i-][w-][a-][g-]';
Maybrat	FAIL	NNLS: the distances matrix is too small	
South-Central Papuan	FAIL	NNLS: error in nnls.tree()	
Arai {Left May}	SUCCESS	NNLS: 	('Owiniga [i-owi][w-owi][a-3203][g-owin1240]':0,'Ama [i-amm][w-amm][a-3138][g-amap1240]':0)'Arai {Left May} [i-][w-][a-][g-]';
Fas	FAIL	NNLS: the distances matrix is too small	
Misumalpan	FAIL	NNLS: the distances matrix is too small	
