Family	Tree
Benue-Congo	((('Kutep [i-kub][w-][a-3050][g-kute1248]')'Jukunoid [i-][w-][a-][g-]',('Yala [i-yba][w-][a-2901][g-yala1263]','Igede [i-ige][w-ige][a-1640][g-iged1239]','Idoma [i-idu][w-ido][a-1636][g-idom1241]')'Idomoid [i-][w-][a-][g-]',('Nupe [i-nup][w-nup][a-2218][g-nupe1254]','Ebira [i-igb][w-ebi][a-1639][g-ebir1243]','Gade [i-ged][w-gad][a-1533][g-gade1242]','Gwari [i-gby][w-][a-1526][g-gbar1246]')'Nupoid [i-][w-][a-][g-]',('Tarok [i-yer][w-tok][a-2768][g-taro1263]','Fyem [i-pym][w-fye][a-2348][g-fyam1238]','Mada {Nigeria} [i-mda][w-mdz][a-1955][g-mada1282]','Kpan [i-kpk][w-kpa][a-1803][g-kpan1246]','Kagoma [i-kdm][w-kgm][a-1724][g-kago1247]','Gworok [i-kcg][w-gwo][a-1713][g-tyap1238]','Jukun [i-jbu][w-juk][a-1676][g-juku1254]','Birom [i-bom][w-bir][a-1050][g-bero1242]')'Platoid [i-][w-][a-][g-]',('Duka [i-dud][w-duk][a-1437][g-huns1239]','Amo [i-amo][w-amo][a-888][g-amoo1242]')'Kainji [i-][w-][a-][g-]',('Urhobo [i-urh][w-urh][a-2673][g-urho1239]','Isoko [i-iso][w-iso][a-1657][g-isok1239]','Etsako [i-ets][w-ets][a-1483][g-yekh1238]','Engenni [i-enn][w-egn][a-1473][g-enge1239]','Ora {Nigeria} [i-ema][w-ora][a-1468][g-emai1241]','Bini [i-bin][w-bni][a-1463][g-bini1246]','Degema [i-deg][w-deg][a-1272][g-dege1246]','Ghotuo [i-aaa][w-gho][a-818][g-ghot1243]')'Edoid [i-][w-][a-][g-]',('Legbo [i-agb][w-agb][a-3133][g-legb1242]','Ogbronuagum [i-ogu][w-obg][a-2243][g-ogbr1243]','Ogbia [i-ogb][w-ogb][a-2242][g-ogbi1239]','Kana [i-ogo][w-kan][a-1728][g-khan1278]','Ibibio [i-ibb][w-ibi][a-1632][g-ibib1240]','Gokana [i-gkn][w-gok][a-1546][g-goka1239]','Kohumono [i-bcs][w-koh][a-980][g-kohu1244]','Obolo [i-ann][w-obo][a-897][g-obol1243]','Efik [i-efi][w-efi][a-604][g-efik1245]')'Cross River [i-][w-][a-][g-]',('Izi [i-izi][w-izi][a-1667][g-izie1238]','Igbo [i-ibo][w-igb][a-531][g-nucl1417]')'Igboid [i-][w-][a-][g-]',('Isekiri [i-its][w-ise][a-1658][g-isek1239]','Yoruba [i-yor][w-yor][a-421][g-yoru1245]')'Yoruboid [i-][w-][a-][g-]',('Yamba [i-yam][w-yba][a-2763][g-yamb1251]','Tiv [i-tiv][w-tiv][a-2574][g-tivv1240]','Tikar [i-tik][w-tik][a-2570][g-tika1246]','Akwa [i-akw][w-][a-2321][g-akwa1248]','Noni [i-nhu][w-non][a-2168][g-noon1243]','Mambila [i-mzk][w-][a-2114][g-nige1255]','Kenyang [i-ken][w-kyg][a-1731][g-keny1279]','Jarawa {Nigeria} [i-jar][w-jar][a-1673][g-jara1263]','Nkem [i-isi][w-nke][a-1655][g-nkem1242]','Ejagham [i-etu][w-eja][a-1484][g-ejag1239]','Yemba [i-ybb][w-yem][a-961][g-yemb1246]',('Ngiemboon [i-nnh][w-][a-3017][g-ngie1241]','Kuo [i-oku][w-oku][a-2247][g-okuu1243]','Lamnso` [i-lns][w-lns][a-2208][g-lamn1239]','Ngemba [i-nge][w-mkq-nge][a-2159][g-ngem1255]','Mundani [i-mnf][w-mud][a-2097][g-mund1327]','Mungaka [i-mhk][w-mgk][a-1990][g-mung1266]','Fe`fe` [i-fmp][w-fef][a-1491][g-fefe1239]','Kom [i-bkm][w-kou][a-1033][g-komc1235]','Bafut [i-bfd][w-baf][a-1001][g-bafu1246]','Bamun [i-bax][w-bmn][a-965][g-bamu1253]','Mbili [i-baw][w-mbi][a-964][g-bamb1266]','Aghem [i-agq][w-agh][a-852][g-aghe1239]')'Grassfields Bantu [i-][w-][a-][g-]',('Vili [i-vif][w-vif][a-3181][g-vili1238]','Suku [i-sub][w-sku][a-3174][g-suku1259]','Mbosi [i-mdw][w-mdw][a-3159][g-mbos1242]','Iwoyo [i-kwy][w-kwy][a-3154][g-sans1272]','Budu [i-buu][w-bdu][a-3139][g-budu1250]','Eton [i-eto][w-][a-2954][g-eton1253]','Tharaka [i-thk][w-][a-2902][g-thar1283]','Mituku [i-zmq][w-mit][a-2811][g-mitu1240]','Yansi [i-yns][w-yns][a-2783][g-yans1239]','Yeyi [i-yey][w-yey][a-2769][g-yeyi1239]','Gunu [i-yas][w-gun][a-2765][g-nugu1242]','Yao {in Malawi} [i-yao][w-yao][a-2764][g-yaoo1241]','Yaka [i-yaf][w-yak][a-2759][g-yaka1269]','Xhosa [i-xho][w-xho][a-2754][g-xhos1239]','Makua [i-vmw][w-][a-2695][g-makh1264]','Venda [i-ven][w-ven][a-2688][g-vend1245]','Tswana [i-tsn][w-tsw][a-2624][g-tswa1253]','Tsogo [i-tsv][w-tgo][a-2623][g-tsog1243]','Tsonga [i-tso][w-tsn][a-2619][g-tson1249]','Tonga {Zambia} [i-toi][w-toz][a-2597][g-tong1318]','Talinga [i-tlj][w-tal][a-2582][g-tali1258]','Tetela [i-tll][w-tet][a-2547][g-tete1250]','Tabwa [i-tap][w-tbw][a-2518][g-taab1238]','Sengele [i-szg][w-sgl][a-2507][g-seng1278]','Swati [i-ssw][w-swt][a-2505][g-swat1243]','Comorian [i-swb][w-com][a-2501][g-maor1244]','Sukuma [i-suk][w-skm][a-2492][g-suku1261]','Sesotho [i-sot][w-ses][a-2484][g-sout2807]','Sotho {Northern} [i-nso][w-stn][a-2478][g-pedi1238]','Songe [i-sop][w-sge][a-2463][g-song1303]','Sangu [i-snq][w-sgu][a-2460][g-sang1333]','Shona [i-sna][w-krg-shn][a-2420][g-shon1251]','Sena [i-seh][w-sen][a-2411][g-nucl1396]','Subiya [i-sbs][w-sub][a-2398][g-subi1246]','Kinyarwanda [i-kin][w-kin][a-2386][g-kiny1244]','Ronga [i-rng][w-rga][a-2377][g-rong1268]','Rimi [i-rim][w-rim][a-2370][g-nyat1246]','Pogoro [i-poy][w-pog][a-2327][g-pogo1243]','Pangwa [i-pbr][w-png][a-2276][g-pang1287]','Nyamwezi [i-nym][w-nym][a-2234][g-nyam1276]','Runyoro-Rutooro [i-nyo][w-rru][a-2231][g-nyor1246]','Runyankore [i-nyn][w-rny][a-2229][g-nyan1307]','Nyambo [i-now][w-nbo][a-2228][g-nyam1277]','Chichewa [i-nyj][w-nng][a-2227][g-nyan1304]','Nyanga [i-nya][w-cic][a-2226][g-nyan1308]','Ntomba [i-nto][w-nto][a-2213][g-ntom1248]','Nsenga [i-nse][w-nse][a-2203][g-nsen1242]','Bujeba [i-nmg][w-buj][a-2187][g-kwas1243]','Ndumu [i-nmd][w-ndu][a-2185][g-ndum1239]','Nyiha [i-nih][w-nyh][a-2171][g-nyih1240]','Ngoni [i-ngo][w-ngo][a-2163][g-ngon1269]','Londo [i-bdu][w-bkn-ldo][a-2162][g-orok1266]','Ngombe [i-ngc][w-dok-nbe][a-2158][g-ngom1268]','Ndebele {South Africa} [i-nbl][w-ndb][a-2154][g-sout2808]','Ndonga [i-ndo][w-ndo][a-2147][g-ndon1254]','Mpongwe [i-mye][w-mpo][a-2116][g-myen1241]','Mwera [i-mwe][w-mwe][a-2105][g-mwer1248]','Mbe` [i-mtk][w-mbz][a-2090][g-mbee1250]','Mongo [i-lol][w-mgo][a-2056][g-mong1338]','Umbundu [i-umb][w-umb][a-2042][g-umbu1257]','Matuumbi [i-mgw][w-mtb][a-1985][g-matu1259]','Mambwe [i-mgr][w-mmw][a-1983][g-mamb1296]','Mbere [i-mdt][w-mbe][a-1963][g-mber1257]','Mbole [i-mdq][w-mbl][a-1962][g-mbol1247]','Makaa [i-mcp][w-mkz][a-1953][g-maka1304]','Lunda [i-lun][w-lbu][a-1923][g-lund1266]','Luyia [i-luy][w-][a-1922][g-luyi1234]','Kiluba [i-lub][w-kil][a-1917][g-luba1250]','CiLuba [i-lua][w-blu-cil][a-1916][g-luba1249]','Lozi [i-loz][w-loz][a-1912][g-lozi1239]','Mbalanhu [i-lnb][w-mhu][a-1903][g-mbal1255]','Lingala [i-lin][w-lin][a-1888][g-ling1263]','Lega [i-lea][w-leg][a-1875][g-lega1249]','Lucazi [i-lch][w-luc][a-1873][g-luch1239]','Langi [i-lag][w-lgi][a-1864][g-lang1320]','Lamba [i-lam][w-lmb][a-1860][g-lamb1271]','Kwangali [i-kwn][w-kwn][a-1849][g-kwan1273]','Bafia [i-ksf][w-bfi][a-1818][g-bafi1243]','Shambala [i-ksb][w-shm][a-1817][g-sham1280]','Kanyok [i-kny][w-kyo][a-1790][g-kany1247]','Nande [i-nnb][w-nde][a-1776][g-nand1264]','Teke {Southern} [i-kkw][w-tks][a-1771][g-teke1280]','Kaguru [i-kki][w-kgr][a-1768][g-kagu1239]','Kinga [i-zga][w-kga][a-1759][g-nucl1379]','Kamba [i-kam][w-kba][a-1756][g-kamb1297]','Makonde [i-kde][w-mkd][a-1721][g-mako1251]','Kete [i-kcv][w-kte][a-1720][g-kete1252]','Kami [i-kcu][w-kmi][a-1719][g-kami1256]','Kalanga [i-kck][w-klz][a-1714][g-kala1384]','Chaga [i-chag][w-][a-1696][g-chag1250]','Ila [i-ilb][w-ila][a-1643][g-ilaa1246]','Ifumu [i-ifm][w-ifm][a-1638][g-teke1274]','Holoholo [i-hoo][w-hol][a-1616][g-holo1240]','Hunde [i-hke][w-hnd][a-1608][g-hund1239]','Herero [i-her][w-her][a-1604][g-here1253]','Hemba [i-hem][w-hem][a-1603][g-hemb1242]','Hehe [i-heh][w-heh][a-1601][g-hehe1240]','Haya [i-hay][w-hya][a-1599][g-haya1250]','Gusii [i-guz][w-gus][a-1575][g-gusi1247]','Enya [i-gey][w-eny][a-1534][g-enya1247]','Ewondo [i-ewo][w-ewo][a-1485][g-ewon1239]','Ekoti [i-eko][w-eko][a-1465][g-koti1238]','Zulu {Southern} [i-zul][w-zno-zso-zul][a-1462][g-zulu1248]','Zulu {Northern} [i-zul][w-zno-zso-zul][a-1461][g-zulu1248]','Karanga [i-kth][w-][a-1402][g-kara1484]','Duala [i-dua][w-dua][a-1381][g-dual1243]','Doko [i-ngc][w-dok-nbe][a-1366][g-ngom1268]','Duma [i-dma][w-dma][a-1353][g-duma1253]','Bena-Lulua [i-lua][w-blu-cil][a-1352][g-luba1249]','Fiote [i-kon][w-][a-1349][g-vili1238]','Ding [i-diz][w-dng][a-1330][g-ding1239]','Dabida [i-dav][w-dbd][a-1226][g-tait1250]','Babole [i-bvx][w-bbl][a-1090][g-dibo1245]','Bubi [i-bvb][w-bub][a-1086][g-bube1242]','Bulu [i-bum][w-buw][a-1083][g-bulu1251]','Bukusu [i-bxk][w-buk][a-1082][g-buku1249]','Bushoong [i-buf][w-bsh][a-1080][g-bush1247]','Bakueri [i-bri][w-bku][a-1064][g-mokp1239]','Bobangi [i-bni][w-bob][a-1045][g-bang1354]','Bemba [i-bem][w-][a-1042][g-bemb1257]','Bolia [i-bli][w-bol][a-1037][g-boli1255]','Bira [i-brf][w-][a-1021][g-bera1259]','Benga [i-bng][w-bga][a-996][g-beng1282]','Beembe [i-beq][w-bee][a-994][g-beem1239]','Bakundu [i-bdu][w-bkn-ldo][a-992][g-orok1266]','Tunen [i-tvu][w-][a-966][g-tune1261]','Tuki [i-bag][w-tki][a-959][g-tuki1240]','Basaa [i-bas][w-bas][a-957][g-basa1284]','Aka [i-axk][w-aka][a-949][g-yaka1272]','Pare [i-asa][w-pre][a-929][g-asut1235]','Lebeo [i-agh][w-leb][a-850][g-ngel1238]','Bankon [i-abb][w-bnk][a-821][g-bank1256]','Rundi [i-run][w-rnd][a-741][g-rund1242]','Kikuyu [i-kik][w-kik][a-740][g-kiku1240]','Zulu [i-zul][w-zno-zso-zul][a-581][g-zulu1248]','Nkore-Kiga [i-cgg][w-nko][a-562][g-chig1238]','Luvale [i-lue][w-luv][a-553][g-luva1239]','Kongo [i-kon][w-][a-544][g-kong1295]','Babungo [i-bav][w-bab][a-488][g-veng1238]','Swahili [i-swa][w-][a-361][g-swah1253]','Luganda [i-lug][w-lda][a-165][g-gand1255]')'Bantu {narrow} [i-][w-][a-][g-]')'Bantoid [i-][w-][a-][g-]')'Benue-Congo [i-][w-][a-][g-]');
Saharan	(('Beria [i-zag][w-zag][a-3192][g-zagh1240]','Kanembu [i-kbl][w-kbu][a-1707][g-kane1243]','Tubu [i-tuq][w-][a-1217][g-teda1241]','Kanuri [i-kau][w-][a-123][g-kanu1279]')'Saharan [i-][w-][a-][g-]');
Fur	(('Fur [i-fvr][w-fur][a-81][g-furr1244]')'Fur [i-][w-][a-][g-]');
Kuliak	(('So [i-teu][w-so][a-2552][g-sooo1256]','Nyangi [i-nyp][w-nyg][a-2230][g-nyan1313]','Ik [i-ikx][w-ik][a-111][g-ikkk1242]')'Kuliak [i-][w-][a-][g-]');
Nera	(('Nera [i-nrb][w-nar][a-207][g-nara1262]')'Nera [i-][w-][a-][g-]');
Nubian	(('Kadaru [i-kdu][w-][a-3021][g-kada1282]','Gulfan [i-ghl][w-nbh][a-3020][g-ghul1238]','Midob [i-mei][w-mid][a-1966][g-mido1240]','Nubian {Hill} [i-kzh][w-nbd-nku][a-1538][g-kenu1236]','Nobiin [i-fia][w-nob][a-1489][g-nobi1240]','Nubian {Kunuz} [i-xnz][w-][a-1348][g-kenu1243]','Nubian [i-dgl][w-][a-69][g-nubi1251]')'Nubian [i-][w-][a-][g-]');
Nilotic	((('Markweeta [i-enb][w-][a-3004][g-mark1255]','Datooga [i-tcc][w-dat][a-2532][g-dato1239]',('Teso [i-teo][w-tes][a-2548][g-teso1249]','Pokot [i-pko][w-pkt][a-2304][g-poko1263]','Sebei [i-kpz][w-seb][a-1809][g-kups1238]')'Kalenjin [i-][w-][a-][g-]','Nandi [i-niq][w-][a-299][g-nand1266]')'Southern Nilotic [i-][w-][a-][g-]',(('Turkana [i-tuv][w-tna][a-2641][g-turk1308]','Karimojong [i-kdj][w-kmj][a-1723][g-kara1483]')'Teso-Turkana [i-][w-][a-][g-]',('Kuku [i-bfa][w-bar-kuk][a-1233][g-bari1284]','Bari [i-bfa][w-bar-kuk][a-1000][g-bari1284]')'Bari [i-][w-][a-][g-]',('Maa [i-mas][w-maa][a-167][g-masa1300]')'Lotuko-Maa [i-][w-][a-][g-]')'Eastern Nilotic [i-][w-][a-][g-]',(('Nuer [i-nus][w-nue][a-2219][g-nuer1246]','Dinka [i-din][w-][a-1326][g-dink1262]')'Dinka-Nuer [i-][w-][a-][g-]',(('Shilluk [i-shk][w-shl][a-2423][g-shil1265]','Jur Luwo [i-lwo][w-jlu][a-1924][g-luwo1239]','Pari [i-lkr][w-par][a-1894][g-pari1256]','Anywa [i-anu][w-any][a-900][g-anua1242]')'Northern Lwo [i-][w-][a-][g-]',('Luo [i-luo][w-luo][a-1919][g-luok1236]','Acholi [i-ach][w-acl][a-603][g-acol1236]','Lango [i-laj][w-lan][a-159][g-lang1324]')'Southern Lwo [i-][w-][a-][g-]')'Lwo [i-][w-][a-][g-]')'Western Nilotic [i-][w-][a-][g-]')'Nilotic [i-][w-][a-][g-]');
Gumuz	(('Gumuz [i-guk][w-gmz][a-91][g-gumu1244]')'Gumuz [i-][w-][a-][g-]');
Berber	(('Zenaga [i-zen][w-zen][a-2806][g-zena1248]',(((('Tamashek {Burkin Faso} [i-taq][w-tsk][a-3042][g-tama1365]','Tamashek {Mali} [i-taq][w-tsk][a-3040][g-tama1365]','Ghomara [i-gho][w-][a-3039][g-ghom1257]','Shilha [i-shi][w-tas][a-2969][g-tach1250]','Berber {Kabyle} [i-kab][w-kbl][a-2882][g-kaby1243]','Tuareg {Ahaggar} [i-thv][w-tai-tgh-tug][a-2566][g-taha1241]','Berber {Siwa} [i-siz][w-bsi][a-2432][g-siwi1239]','Berber {Chaouia} [i-shy][w-bch][a-2426][g-tach1249]','Tashlhiyt [i-shi][w-tas][a-2421][g-tach1250]','Berber {Rif} [i-rif][w-brf][a-2369][g-tari1263]','Berber {Wargla} [i-oua][w-bou][a-2264][g-taga1278]','Berber {Mzab} [i-mzb][w-bmz][a-2123][g-tumz1238]','Berber {Ayt Seghrouchen Middle Atlas} [i-tzm][w-bma-bse][a-1435][g-cent2194]','Tuareg {Ghat} [i-thv][w-tai-tgh-tug][a-1421][g-taha1241]','Tuareg {Air} [i-thv][w-tai-tgh-tug][a-1420][g-taha1241]','Berber {Figuig} [i-tzm][w-bma-bse][a-750][g-cent2194]','Tamazight {Ayt Ndhir} [i-tzm][w-bma-bse][a-571][g-cent2194]','Berber [i-berb][w-][a-431][g-berb1260]','Kabyle [i-kab][w-kbl][a-120][g-kaby1243]')'Berber [i-][w-][a-][g-]')'Group3 [i-][w-][a-][g-]')'Group2 [i-][w-][a-][g-]')'Group1 [i-][w-][a-][g-]')'Berber [i-][w-][a-][g-]');
Chadic	(((((('Masa [i-mcn][w-mas][a-1951][g-masa1322]','Lame [i-lme][w-lam][a-1899][g-peve1243]')'Masa group [i-][w-][a-][g-]')'Group3 [i-][w-][a-][g-]')'Group2 [i-][w-][a-][g-]')'Masa [i-][w-][a-][g-]',('Tumak [i-tmc][w-tmk][a-2585][g-tuma1260]','Mokilko [i-moz][w-mko][a-2062][g-muku1242]','Migama [i-mmy][w-mig][a-2040][g-miga1249]','Lele [i-lln][w-lel][a-1896][g-lele1276]','Dangaleat {Western} [i-daa][w-dnw][a-1208][g-dang1274]','Bidiya [i-bid][w-bid][a-1017][g-bidi1241]','Kera [i-ker][w-ker][a-539][g-kera1255]')'East Chadic [i-][w-][a-][g-]',('Moloko [i-mlw][w-][a-2943][g-molo1266]','Uldeme [i-udl][w-uld][a-2658][g-wuzl1236]','Hdi [i-xed][w-hdi][a-2638][g-hdii1240]','Podoko [i-pbi][w-pod][a-2275][g-park1239]','Mada {Cameroon} [i-mxu][w-mda][a-2112][g-mada1293]','Musgu [i-mug][w-mgu][a-2094][g-musg1254]','Mbara [i-mpk][w-mbr][a-2065][g-mbar1260]','Mofu-Gudur [i-mif][w-mof][a-2004][g-mofu1248]','Malgwa [i-mfi][w-mlg][a-1976][g-wand1278]','Lagwan [i-kot][w-lag][a-1797][g-lagw1237]','Kilba [i-hbb][w-klb][a-1758][g-huba1236]','Lamang [i-hia][w-lmg][a-1605][g-lama1288]','Giziga [i-gis][w-][a-1543][g-nort3047]','Gidar [i-gid][w-gdr][a-1541][g-gida1247]','Guduf [i-gdf][w-gdf][a-1529][g-gudu1252]','Gude [i-gde][w-gud][a-1528][g-gude1246]','Ga`anda [i-gqa][w-gnd][a-1513][g-gaan1243]',('Mina [i-hna][w-hna][a-2974][g-mina1276]','Daba [i-dbq][w-dab][a-1209][g-nucl1683]')'Daba {a.k.a. Family A7} [i-][w-][a-][g-]','Bura-Pabir [i-bwr][w-bpa][a-1085][g-bura1292]','Buduma [i-bdm][w-bud][a-989][g-budu1265]','Bana [i-bcw][w-ban][a-981][g-bana1305]','Kotoko [i-aal][w-ktk][a-819][g-afad1236]','Margi [i-mrt][w-mrg][a-177][g-marg1265]','Tera [i-ttr][w-ter][a-373][g-tera1251]')'Biu-Mandara {Central Chadic} [i-][w-][a-][g-]',('Kwami [i-ksq][w-kwm][a-1821][g-kwaa1269]',('Miya [i-mkf][w-miy][a-2023][g-miya1266]',(('Ngizim [i-ngi][w-ngz][a-2160][g-ngiz1242]','Bade [i-bde][w-bad][a-984][g-bade1248]')'Bade [i-][w-][a-][g-]')'Group3 [i-][w-][a-][g-]','Pa`a [i-pqa][w-paa][a-841][g-paaa1242]')'West - B {West Chadic} [i-][w-][a-][g-]',((('Tangale [i-tan][w-tan][a-2516][g-nucl1696]','Pero [i-pip][w-per][a-2297][g-pero1241]')'Tangale [i-][w-][a-][g-]',('Ron [i-cla][w-ron][a-1159][g-ronn1241]')'Ron [i-][w-][a-][g-]',('Mupun [i-sur][w-mup][a-2498][g-mwag1236]','Bole [i-bol][w-blq][a-1049][g-nucl1695]','Goemai [i-ank][w-goe][a-896][g-goem1240]','Angas [i-anc][w-anc][a-892][g-ngas1240]','Kanakuru [i-kna][w-knk][a-121][g-dera1248]')'Bole-Angas group [i-][w-][a-][g-]',('Hausa [i-hau][w-hau][a-98][g-haus1257]')'Hausa group [i-][w-][a-][g-]')'Group3 [i-][w-][a-][g-]')'West - A {West Chadic} [i-][w-][a-][g-]')'West Chadic [i-][w-][a-][g-]')'Chadic [i-][w-][a-][g-]');
Egyptian	(('Coptic [i-cop][w-cop][a-1172][g-copt1239]','Egyptian {Ancient} [i-egy][w-][a-294][g-egyp1246]')'Egyptian [i-][w-][a-][g-]');
Semitic	((((('Gurage {Sebat Bet} [i-sgw][w-chh-muh][a-3044][g-seba1251]','Silt`e [i-stv][w-][a-3019][g-silt1240]','Zay [i-zwa][w-][a-3014][g-zayy1238]','Argobba [i-agj][w-][a-2896][g-argo1244]','Tigre [i-tig][w-tbe-tgr][a-2567][g-tigr1270]','Tigrinya [i-tir][w-tig][a-2560][g-tigr1271]','Harsusi [i-hss][w-hrs][a-1618][g-hars1241]','Harari [i-har][w-hrr][a-1595][g-hara1271]','Soddo [i-gru][w-sod][a-1562][g-kist1241]','Tigre {Beni Amer} [i-tig][w-tbe-tgr][a-1427][g-tigr1270]','Muher [i-sgw][w-chh-muh][a-1314][g-seba1251]','Chaha [i-sgw][w-chh-muh][a-1313][g-seba1251]','Amharic [i-amh][w-amh][a-21][g-amha1245]')'Ethiopean [i-][w-][a-][g-]')'Southern {West Semitic} [i-][w-][a-][g-]',((('Neo-Aramaic {Barwar} [i-aii][w-nsy][a-3101][g-assy1241]','Syriac [i-syc][w-][a-2912][g-clas1252]','Aramaic {Biblical} [i-tmr][w-][a-2840][g-jewi1240]','Neo-Aramaic {Persian Azerbaijan} [i-trg][w-nap][a-2608][g-lish1246]','Mandaic {Modern} [i-mid][w-mma][a-2002][g-nucl1706]','Neo-Aramaic {Amadiya} [i-cld][w-cld-naa][a-1254][g-chal1275]','Chaldean {Modern} [i-cld][w-cld-naa][a-1160][g-chal1275]','Neo-Aramaic {Arbel Jewish} [i-aij][w-naj][a-864][g-lish1245]','Neo-Aramaic {Assyrian} [i-aii][w-nsy][a-863][g-assy1241]')'Aramaic [i-][w-][a-][g-]')'Aramaic [i-][w-][a-][g-]',(('Maltese [i-mlt][w-mlt][a-2033][g-malt1254]')'Maltese [i-][w-][a-][g-]',('Samaritan [i-smp][w-][a-2908][g-sama1313]','Ugaritic [i-uga][w-][a-2834][g-ugar1238]','Hebrew {Modern Ashenazic} [i-heb][w-hba-heb][a-1315][g-hebr1245]','Hebrew {Modern} [i-heb][w-hba-heb][a-583][g-hebr1245]','Hebrew {Biblical} [i-hbo][w-][a-529][g-anci1244]')'Canaanitic [i-][w-][a-][g-]',('Soqotri [i-sqt][w-soq][a-2469][g-soqo1240]','Jibbali [i-shv][w-jib][a-2425][g-sheh1240]','Mehri [i-gdq][w-meh][a-1994][g-mehr1241]','Arabic {Bani-Hassan} [i-mey][w-ahs][a-1972][g-hass1238]','Arabic {Borno Nigerian} [i-shu][w-abb-arn][a-1405][g-chad1249]','Arabic {Abbeche Chad} [i-shu][w-abb-arn][a-1404][g-chad1249]','Bathari [i-bhm][w-bth][a-1354][g-bath1244]','Arabic {Syrian} [i-apc][w-abe-anl-arl-asy][a-1223][g-nort3139]','Arabic {Lebanese} [i-apc][w-abe-anl-arl-asy][a-1222][g-nort3139]','Arabic {Beirut} [i-apc][w-abe-anl-arl-asy][a-1221][g-nort3139]','Arabic {Negev} [i-ajp][w-apa-arv][a-1216][g-sout3123]','Arabic {San`ani} [i-ayn][w-ars][a-952][g-sana1295]','Arabic {Eastern Libyan} [i-ayl][w-ael][a-951][g-liby1240]','Arabic {Moroccan} [i-ary][w-amr][a-928][g-moro1292]','Arabic {North Levantine Spoken} [i-apc][w-abe-anl-arl-asy][a-907][g-nort3139]','Arabic {Palestinian} [i-ajp][w-apa-arv][a-868][g-sout3123]','Arabic {Bahrain} [i-abv][w-abh][a-843][g-baha1259]','Arabic {Gulf} [i-afb][w-arg-arj][a-842][g-gulf1241]','Arabic {Tunisian} [i-aeb][w-atu][a-839][g-tuni1259]','Arabic {Kormakiti} [i-acy][w-ako][a-834][g-cypr1248]','Arabic {Hijazi} [i-acw][w-arh][a-833][g-hija1235]','Arabic {Iraqi} [i-acm][w-arq][a-830][g-meso1252]','Arabic {Egyptian} [i-arz][w-aeg][a-642][g-egyp1253]','Arabic [i-arb][w-ams][a-23][g-stan1318]')'Arabic [i-][w-][a-][g-]')'South-Central Semitic [i-][w-][a-][g-]')'Central {West Semitic} [i-][w-][a-][g-]')'West Semitic [i-][w-][a-][g-]',(('Akkadian [i-akk][w-][a-15][g-akka1240]')'Akkadian [i-][w-][a-][g-]')'East Semitic [i-][w-][a-][g-]')'Semitic [i-][w-][a-][g-]');
Omotic	(('Kachama-Ganjule [i-kcx][w-][a-3015][g-kach1284]','Sheko [i-she][w-][a-3006][g-shek1245]','Zayse [i-zay][w-zay][a-2805][g-zays1235]','Wolaytta [i-wal][w-wly][a-2707][g-wola1242]','Moca [i-moy][w-moc][a-2061][g-shek1244]','Maale [i-mdy][w-mle][a-1964][g-male1284]','Koyra [i-kgy][w-kgy][a-1812][g-kyer1238]','Kefa [i-kbr][w-kef][a-1710][g-kafa1242]','Yemsa [i-jnj][w-yms][a-1687][g-yems1235]','Dime [i-dim][w-dim][a-1323][g-dime1235]','Kullo [i-dwr][w-][a-1303][g-dawr1236]','Gamo [i-gmv][w-][a-1302][g-gamo1243]','Shinassha [i-bwo][w-ssh][a-1092][g-boro1277]','Gimira [i-bcq][w-gim][a-979][g-benc1235]','Hamer [i-amf][w-hmr][a-886][g-hame1242]','Aari [i-aiw][w-aar][a-865][g-aari1239]','Dizi [i-mdx][w-diz][a-65][g-dizi1235]')'Omotic [i-][w-][a-][g-]');
